date,symbol,name,clientName,buySell,qty,watp,remarks
18-May-2026,JSWSTEEL,JSW Steel Limited,GQG PARTNERS EMERGING MARKETS EQUITY FUND,BUY,15000000,1260,
18-May-2026,JSWSTEEL,JSW Steel Limited,SBI MUTUAL FUND,BUY,10000000,1260,
18-May-2026,JSWSTEEL,JSW Steel Limited,JSW ENERGY LIMITED,SELL,25000000,1260,
