symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime
MTARTECH,MTARTECHEQN,7950,6.61,4822435,4822435,37682314192.6,7457,04-Aug-2023,,8025,1390.5,493,7531,7947.5,8025,7370,2026-05-21 16:00:28
HDFCBANK,HDFCBANKEQN,758.8,-0.09,34664725,34664725,26363909951.5,759.5,19-Jun-2026,,1020.5,726.65,-0.7,767,759.15,768.25,755.15,2026-05-21 16:00:28
RELIANCE,RELIANCEEQN,1349,-0.79,17150630,17150630,23201715276.6,1359.7,14-Aug-2025,,1611.8,1290,-10.7,1367.2,1349.6,1370.9,1345.2,2026-05-21 16:00:28
LENSKART,LENSKARTEQN,498,2.29,43786428,43786428,21873510107.4,486.85,,,557.65,356.1,11.15,513,498.5,517,490,2026-05-21 16:00:28
APOLLO,APOLLOEQN,356.25,-0.13,53090161,53090161,19450111383.96,356.7,08-Sep-2025,,377.7,133.31,-0.45,362.5,358.6,377.7,353,2026-05-21 16:00:28
SAMMAANCAP,SAMMAANCAPEQN,154.75,9.13,120079677,120079677,18492270258,141.8,20-Sep-2024,,192.95,114.1,12.95,148.19,154.26,158.6,148,2026-05-21 16:00:28
ICICIBANK,ICICIBANKEQN,1244.4,0.57,14394386,14394386,17884880661.14,1237.3,12-Aug-2025,,1500,1187.6,7.1,1245.3,1242.8,1248.3,1234.4,2026-05-21 16:00:28
BSE,BSEEQN,4188.9,-0.7,3507063,3507063,14801173614.57,4218.6,10-Jul-2026,,4298.9,2021.5,-29.7,4270,4186.9,4293.8,4153.2,2026-05-21 16:00:28
GRASIM,GRASIMEQN,3162,6.43,4417489,4417489,13794581250.08,2971.1,12-Aug-2025,,3180,2502.5,190.9,3060.7,3154.5,3180,3021,2026-05-21 16:00:28
BHARTIARTL,BHARTIARTLEQN,1884,-1.1,6419014,6419014,12173916811.56,1904.9,18-Jul-2025,,2174.5,1740.5,-20.9,1911,1885.3,1915.3,1880.8,2026-05-21 16:00:28
INFY,INFYEQN,1178.2,-1.3,10021033,10021033,11881738407.44,1193.7,10-Jun-2026,,1728,1089,-15.5,1196.1,1181.2,1201.8,1177,2026-05-21 16:00:28
APOLLOHOSP,APOLLOHOSPEQN,8330,3.11,1425124,1425124,11762759727.4,8078.5,16-Feb-2026,,8388,6696.5,251.5,8198.5,8308.5,8388,8051.5,2026-05-21 16:00:28
MCX,MCXEQN,3316,-3.65,3460281,3460281,11670247509.03,3441.7,02-Jan-2026,,3480,1250.4,-125.7,3470,3322.8,3480,3308,2026-05-21 16:00:28
SBIN,SBINEQN,950,-0.09,11756520,11756520,11196556952.4,950.9,15-May-2026,,1234.7,779.1,-0.9,957,950.9,960.9,946.5,2026-05-21 16:00:28
TRITURBINE,TRITURBINEEQN,705.25,7.42,15939472,15939472,11116506562.24,656.55,09-Feb-2026,,712,428.35,48.7,657.25,705.6,712,657,2026-05-21 16:00:28
IDEA,IDEAEQN,13.53,-0.37,769010637,769010637,10543135833.27,13.58,20-Aug-2024,,13.88,6.12,-0.05,13.65,13.62,13.88,13.51,2026-05-21 16:00:28
IRB,IRBEQN,22.56,6.77,428946595,428946595,9882929548.8,21.13,30-Mar-2026,,27.14,19.15,1.43,21.15,22.84,23.95,21.13,2026-05-21 16:00:28
AMBER,AMBEREQN,7500,6.39,1293057,1293057,9635705597.16,7049.5,02-Aug-2024,,8974,5400.5,450.5,7150,7537,7634.5,7120,2026-05-21 16:00:28
MOTHERSON,MOTHERSONEQN,136.89,3.57,65674007,65674007,8956621074.66,132.17,27-Mar-2026,,138.4,89.7,4.72,136.02,137,138.4,133.36,2026-05-21 16:00:28
BAJFINANCE,BAJFINANCEEQN,908.1,-1.62,9713326,9713326,8863604241.52,923.1,30-Jun-2026,,1102.5,787.9,-15,933,907.65,934.9,903.25,2026-05-21 16:00:28
