symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
PALREDTEC,BE,43.39,2.06,   4.98,5,43.39,42,73.6,27.45,0.02723,0.011774252
SHRENIK,BZ,0.38,0.01,   2.70,5,0.38,0.37,0.68,0.36,3.00598,0.011122126
GRANDOAK,EQ,27.15,0.44,   1.65,10,29.38,26.9,34.8,24.41,0.02456,0.006967672
VEEKAYEM,ST,134.25,6.35,   4.96,5,134.25,134.25,318,79.8,0.005,0.0067125
HBSL,BE,61.69,1.69,   2.82,5,63,59.45,137,42.63,0.01059,0.006625104
MAL,SM,39.05,1.85,   4.97,5,39.05,39.05,80.2,29.6,0.016,0.006248
WINSOME,BZ,2.19,0.01,   0.46,2,2.22,2.18,2.22,1.59,0.24597,0.005435937
SABAR,SM,5.35,0.25,   4.90,5,5.35,5.2,9.55,3.8,0.1,0.00527
BLUECHIP,EQ,2.09,0.04,   1.95,2,2.09,2.09,5.68,1.8,0.24978,0.005220402
ORTINGLOBE,BE,15.6,0.6,   4.00,5,15.75,14.3,19.9,10.32,0.02659,0.004129427
21STCENMGM,EQ,31.61,0.12,   0.38,2,32.11,31.54,74.84,28.25,0.01268,0.004056332
FEL,BZ,0.45,0.01,   2.27,2,0.45,0.44,0.65,0.34,0.43226,0.0019019439999999998
