symbol,shortName,price,changePct,volume
QBTS,D-Wave Quantum Inc.,25.74,33.37,114599943
INFQ,"Infleqtion, Inc.",14.7,31.48,74788178
RGTI,"Rigetti Computing, Inc.",22.04,30.57,143132809
APLD,Applied Digital Corporation,48.02,21.51,42816282
BIRK,Birkenstock Holding plc,39.67,19.45,7667160
QUBT,Quantum Computing Inc.,11.41,19.35,54891021
WOLF,"Wolfspeed, Inc.",69.5,18.56,9234993
ENPH,"Enphase Energy, Inc.",62.34,17.29,17702747
ARM,Arm Holdings plc,298.23,16.16,21320169
AXTI,AXT Inc,121.02,15.69,9012246
GFS,GlobalFoundries Inc.,81.35,14.92,10758007
EOSE,"Eos Energy Enterprises, Inc.",8.17,14.91,33680728
NBIS,Nebius Group N.V.,219.93,14.65,22896811
AAP,Advance Auto Parts Inc.,58.62,14.4,8174426
RL,Ralph Lauren Corporation,374.9,13.87,2116110
