symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
AAL,"American Airlines Group, Inc.",15.46,0.48,3.2,178764605,68500423,10225014784
NOK,Nokia Corporation Sponsored,14.82,0.02,0.14,121846864,103663479,82733154304
INTC,Intel Corporation,127.86,3.29,2.64,128707934,129271295,642624323584
NVDA,NVIDIA Corporation,212.45,7.26,3.54,130006836,165364671,5145751453696
GRAB,Grab Holdings Limited,3.46,0.16,4.85,79088322,51526073,14151399424
SOFI,"SoFi Technologies, Inc.",17.13,0.55,3.32,75978585,67847146,21973356544
PATH,"UiPath, Inc.",10.79,0.24,2.27,66778565,32291490,5590517760
SMCI,"Super Micro Computer, Inc.",30.85,0.39,1.28,59853677,49867501,18553761792
ONDS,Ondas Inc,9.51,0.18,1.93,57033596,70651887,4918548480
ACHR,Archer Aviation Inc.,5.55,0.47,9.25,54988379,38299061,4233900288
NU,Nu Holdings Ltd.,12.43,0.24,1.97,62102935,52184144,60431441920
JOBY,"Joby Aviation, Inc.",9.67,0.52,5.68,52213703,27585771,9511826432
T,AT&T Inc.,23.29,-0.29,-1.23,47217471,40994055,161826816000
OPEN,Opendoor Technologies Inc,4.61,0.17,3.83,45917682,36051704,4447436288
BMNR,"BitMine Immersion Technologies,",17.11,1.0,6.21,45665737,40544777,9745460224
MRVL,"Marvell Technology, Inc.",308.88,29.18,10.43,50306597,34943947,270208221184
QBTS,D-Wave Quantum Inc.,26.26,2.89,12.37,44755305,33223226,9727890432
RGTI,"Rigetti Computing, Inc.",22.7,1.72,8.2,44650114,39929003,7545453568
SNAP,Snap Inc.,5.71,0.45,8.56,46937285,49560374,9462388736
F,Ford Motor Company,14.77,-0.07,-0.47,48389671,57851126,58853912576
POET,POET Technologies Inc.,13.93,1.4,11.17,41720248,40091053,2404254208
KEEL,Keel Infrastructure Corp.,5.66,0.07,1.25,40937992,39328992,3417670144
TSLA,"Tesla, Inc.",411.15,4.72,1.16,43296855,58965338,1544165785600
RDW,Redwire Corporation,14.83,-0.29,-1.92,39103424,37008028,2949964544
MU,"Micron Technology, Inc.",1087.99,106.38,10.84,44256323,51198950,1226963288064
