symbol,regPrice,postPrice,postChange,direction
RDDT,178.04,159.48,-10.42,DOWN
AMZN,235.5,257.7,9.43,UP
MRVL,183.3,195.0,6.38,UP
AAPL,333.43,312.51,-6.27,DOWN
SNDK,1279.96,1353.69,5.76,UP
COIN,163.58,154.53,-5.53,DOWN
COIN,163.58,154.59,-5.49,DOWN
INTC,91.13,95.38,4.66,UP
MU,874.66,910.5,4.1,UP
IREN,38.26,39.5,3.24,UP
STX,851.68,876.0,2.86,UP
AMD,485.39,499.17,2.84,UP
RIVN,16.83,17.25,2.49,UP
DDOG,268.56,274.53,2.22,UP
ARM,241.54,246.83,2.19,UP
CRWV,73.9,75.5,2.16,UP
