symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
STLTECH,EQ,403.5,8.8,   2.23,5,414.4,377.55,414.4,63.46,183.42759,741.689460165
CMPDI,EQ,234.87,20.77,   9.70,20,256.92,211.14,256.92,150.16,234.38304,559.5191930880001
ATLANTAELE,EQ,1814.8,86.4,   5.00,5,1814.8,1751,1846.2,707.6,4.36549,78.920201318
SAKAR,EQ,567,37.4,   7.06,20,635.5,529,661.95,300,9.36526,56.002381748000005
MON100,EQ,323.37,8.21,   2.61,20,323.37,323.37,323.37,168.15,5.33551,17.253438687
GVPIL,BE,671.3,31.95,   5.00,5,671.3,671,677.4,225.11,2.52003,16.916709387
ANTELOPUS,EQ,719.35,34.25,   5.00,5,719.35,690,767.95,357,1.66517,11.898638752
KESORAMIND,EQ,12.94,0.5,   4.02,5,13.06,12.64,13.94,4.44,74.12454,9.6361902
SVLL,EQ,580,48.2,   9.06,20,638.15,540.65,855.7,445.15,1.34036,8.32564614
ATMASTCO,SM,205.85,1.25,   0.61,5,214.8,200.05,268,98,3.22,6.802894
NIMBSPROJ,EQ,220.15,14.1,   6.84,10,226.65,209.82,226.65,165.81,2.88191,6.276511789
BHAGYANGR,BE,320.6,15.25,   4.99,5,320.6,296,323.4,68.92,1.95287,6.181614698
MAXVOLT,SM,463,-2.95,  -0.63,5,489.2,455,509,175.6,1.192,5.6174192
TAC,SM,514.1,24.45,   4.99,5,514.1,505,899.65,352,1.052,5.3942352
BIRLACABLE,BE,184,2.63,   1.45,5,190.43,181.37,215.2,104,2.78209,5.234224126
MAFANG,EQ,192.4,4.26,   2.26,20,192.4,192.4,192.4,123.51,2.31823,4.4602745200000005
APSISAERO,ST,290,-11.4,  -3.78,5,316.45,290,316.45,147.2,1.284,4.007364
EMPOWER,BE,2.7,0.12,   4.65,5,2.7,2.69,2.7,1.3,142.91372,3.844379068
PANACHE,BE,365.2,17.35,   4.99,5,365.2,355,472.15,171.85,0.90476,3.298212104
KSHITIJPOL,BE,4.57,0.21,   4.82,5,4.57,4.56,4.57,1.88,52.85537,2.410204872
AFIL,BE,9.13,0.13,   1.44,5,9.45,8.85,10.1,3.92,16.79663,1.550328949
AVANA,ST,154,5.45,   3.67,5,155.95,153.2,155.95,60.1,0.84,1.30452
POSITRON,ST,220.3,-1.9,  -0.86,5,233.3,217.05,395,105.9,0.534,1.2300156
VISASTEEL,EQ,55.72,2.65,   4.99,5,55.72,51,73.68,27.05,2.03354,1.127191222
OILCOUNTUB,BE,62.5,1.12,   1.82,5,64.44,62,99.67,35.65,1.66853,1.069360877
CALSOFT,BE,26.51,1.26,   4.99,5,26.51,26.51,26.51,9.96,3.89999,1.033887349
MAHKTECH,EQ,24.75,0,   0.00,20,24.75,24.75,35.59,20.51,3.99982,0.98995545
ARUNAYA,SM,26,4.3,  19.82,20,26,22.8,46.5,13.9,3.84,0.943488
SOFTTECH,BE,432.05,-15.1,  -3.38,5,469.5,430,469.5,215,0.15862,0.725591328
INNOMET,ST,109.9,2.8,   2.61,5,112.45,109.1,216,63.15,0.618,0.693396
BROOKS,BE,49.83,2.37,   4.99,5,49.83,47.44,164.02,36.3,1.27699,0.631088458
MASPTOP50,EQ,79.89,0.31,   0.39,20,79.89,79.89,79.89,51.51,0.64789,0.517599321
JYOTIGLOBL,ST,50.6,-1.9,  -3.62,5,55.1,50.6,77.75,27.05,0.84,0.458388
INSPIRISYS,BE,96.59,4.5,   4.89,5,96.69,88.6,120.74,69.92,0.44505,0.42043873499999995
MARC,ST,92.65,4.4,   4.99,5,92.65,88.25,94,40.75,0.456,0.4201128
MONQ50,EQ,131.05,0.59,   0.45,20,131.05,131.05,133.92,69.76,0.31793,0.416647265
GRCL,SM,559.95,24.85,   4.64,5,561.85,515.05,561.85,306.65,0.0725,0.398315
ABAN,BE,18.81,0.89,   4.97,5,18.81,18.2,61,14.72,1.98378,0.370173348
