symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
PLUG,"Plug Power, Inc.",3.56,0.04,1.14,192139482,78864311,4965579264
INTC,Intel Corporation,120.61,-8.83,-6.82,171039158,111150871,606185848832
NVDA,NVIDIA Corporation,220.78,1.34,0.61,157919130,170682885,5366057795584
QUBT,Quantum Computing Inc.,11.78,1.6,15.72,139826186,12596258,2656650752
NOK,Nokia Corporation Sponsored,13.17,-0.75,-5.39,102946870,79753700,73521971200
CTRA,Coterra Energy Inc.,32.56,-3.07,-8.62,73317709,9836003,24724652032
IREN,IREN LIMITED,56.56,1.41,2.56,74517218,37793035,20213338112
POET,POET Technologies Inc.,13.73,-0.17,-1.22,84597630,25464718,2096724480
MU,"Micron Technology, Inc.",766.58,-28.75,-3.61,71288236,43009786,864498352128
SOFI,"SoFi Technologies, Inc.",15.9,-0.36,-2.21,62053658,66191390,20395585536
TSLA,"Tesla, Inc.",433.45,-11.63,-2.61,59446395,62688196,1627918565376
ACHR,Archer Aviation Inc.,6.39,-0.15,-2.29,54141915,30222640,4853831168
HIMS,"Hims & Hers Health, Inc.",25.03,-4.11,-14.1,53235211,36142296,5783707648
MARA,"MARA Holdings, Inc.",12.72,-0.67,-5.0,49619564,47323450,4848828928
AAL,"American Airlines Group, Inc.",12.69,-0.1,-0.78,47371004,66701850,8392977408
RGTI,"Rigetti Computing, Inc.",19.07,-1.44,-7.02,49260308,28391991,6337829376
NVTS,Navitas Semiconductor Corporati,19.25,-3.4,-15.01,46559427,26897793,4498978304
QBTS,D-Wave Quantum Inc.,22.35,-1.68,-6.99,46715192,26461850,8279030784
GRAB,Grab Holdings Limited,3.64,-0.01,-0.27,45057985,49355458,14887600128
VG,"Venture Global, Inc.",13.27,1.65,14.2,41653155,26297111,32943687680
SNAP,Snap Inc.,5.55,-0.2,-3.48,44154779,50322053,9197243392
IONQ,"IonQ, Inc.",55.87,-1.02,-1.79,39167416,27369238,20854591488
F,Ford Motor Company,11.99,0.09,0.76,38110651,51823905,47776464896
BMNR,"BitMine Immersion Technologies,",21.67,-1.35,-5.86,37772479,42417618,12342729728
SMR,NuScale Power Corporation,12.0,-1.29,-9.71,40729719,28300896,4153269504
