symbol,regPrice,postPrice,postChange,direction
IREN,40.53,37.11,-8.45,DOWN
MRVL,241.45,222.62,-7.8,DOWN
S,22.71,21.75,-4.23,DOWN
SNAP,5.33,5.47,2.63,UP
