symbol,shortName,price,changePct,volume
HQY,"HealthEquity, Inc.",93.39,-10.56,3217684
PAY,"Paymentus Holdings, Inc.",35.61,-9.69,2488055
BURL,"Burlington Stores, Inc.",290.0,-7.64,3952386
SFM,"Sprouts Farmers Market, Inc.",81.04,-6.67,1475226
SPHR,Sphere Entertainment Co.,147.34,-6.39,682003
CELH,"Celsius Holdings, Inc.",32.99,-6.36,7041369
VERA,"Vera Therapeutics, Inc.",34.6,-6.03,2781747
CASY,"Caseys General Stores, Inc.",763.38,-5.42,454413
TPR,"Tapestry, Inc.",123.24,-5.38,3887905
MNSO,MINISO Group Holding Limited,10.81,-5.34,1010359
CHE,Chemed Corp,520.27,-5.16,363762
URBN,"Urban Outfitters, Inc.",78.79,-5.02,2871419
FOUR,"Shift4 Payments, Inc.",43.94,-4.99,1563718
BHVN,Biohaven Ltd.,16.12,-4.9,5424442
TOST,"Toast, Inc.",35.17,-4.87,15348948
