type,symbol,instrument,expiryDate,optionType,strikePrice,ltp,prevClose,pChange,latestOI,prevOI,changeInOI,volume,turnover,premTurnover,underlyingValue,identifier,instrumentType,pChangeInOI
RR,INFY,Stock Futures,26-May-2026,-,0,1188.8,1145,3.83,202816,188451,14365,68526,325048.96944,325048.96944,1194,FUTSTKINFY26-05-2026XX0,FUTSTK,7.62
RR,INFY,Stock Futures,30-Jun-2026,-,0,1187,1142.7,3.88,44431,34874,9557,16474,78046.56344,78046.56344,1194,FUTSTKINFY30-06-2026XX0,FUTSTK,27.4
RR,AXISBANK,Stock Futures,28-Jul-2026,-,0,1255.2,1251.1,0.33,12184,5837,6347,6471,50750.03081,50750.03081,1237.9,FUTSTKAXISBANK28-07-2026XX0,FUTSTK,108.74
RR,AXISBANK,Stock Futures,26-May-2026,-,0,1240.8,1238.2,0.21,92734,86488,6246,18729,145332.35775,145332.35775,1237.9,FUTSTKAXISBANK26-05-2026XX0,FUTSTK,7.22
RR,TCS,Stock Futures,26-May-2026,-,0,2308,2260.3,2.11,222439,217434,5005,30675,124699.3965,124699.3965,2330,FUTSTKTCS26-05-2026XX0,FUTSTK,2.3
RR,INDUSINDBK,Stock Futures,28-Jul-2026,-,0,905.2,902.35,0.32,5590,650,4940,5016,31761.61296,31761.61296,896,FUTSTKINDUSINDBK28-07-2026XX0,FUTSTK,760
RR,BANKNIFTY,Index Options,30-Jun-2026,Put,60000,6242.2,6035.9,3.42,17258,12446,4812,5298,9551.78539,9551.78539,53409.15,OPTIDXBANKNIFTY30-06-2026PE60000,OPTIDX,38.66
RR,AUROPHARMA,Stock Futures,26-May-2026,-,0,1515.9,1504.1,0.78,30909,26599,4310,6240,52049.712,52049.712,1513.9,FUTSTKAUROPHARMA26-05-2026XX0,FUTSTK,16.2
RR,AUROPHARMA,Stock Futures,30-Jun-2026,-,0,1525,1514.1,0.72,11918,8021,3897,4149,34860.66556,34860.66556,1513.9,FUTSTKAUROPHARMA30-06-2026XX0,FUTSTK,48.58
RR,AXISBANK,Stock Futures,30-Jun-2026,-,0,1248,1246.3,0.14,23698,20123,3575,4470,34914.0525,34914.0525,1237.9,FUTSTKAXISBANK30-06-2026XX0,FUTSTK,17.77
RR,IDEA,Stock Futures,30-Jun-2026,-,0,13.56,13,4.31,11129,7693,3436,8356,80568.36399,80568.36399,13.45,FUTSTKIDEA30-06-2026XX0,FUTSTK,44.66
RR,POLICYBZR,Stock Futures,26-May-2026,-,0,1794.3,1747.7,2.67,23812,20559,3253,6542,41352.89788,41352.89788,1790.1,FUTSTKPOLICYBZR26-05-2026XX0,FUTSTK,15.82
RR,VEDL,Stock Futures,26-May-2026,-,0,334.55,325.45,2.8,34947,32017,2930,12253,46612.8626,46612.8626,337.7,FUTSTKVEDL26-05-2026XX0,FUTSTK,9.15
RR,ADANIENT,Stock Futures,26-May-2026,-,0,2713.2,2692.1,0.78,62383,59514,2869,14224,120304.09426,120304.09426,2712.7,FUTSTKADANIENT26-05-2026XX0,FUTSTK,4.82
RR,TATAPOWER,Stock Futures,28-Jul-2026,-,0,416.05,406.2,2.42,3303,546,2757,2848,17025.92784,17025.92784,413.9,FUTSTKTATAPOWER28-07-2026XX0,FUTSTK,504.95
RR,HCLTECH,Stock Futures,30-Jun-2026,-,0,1173.5,1141.8,2.78,29430,26850,2580,5887,24209.66936,24209.66936,1180,FUTSTKHCLTECH30-06-2026XX0,FUTSTK,9.61
RR,ADANIGREEN,Stock Futures,26-May-2026,-,0,1373,1371.9,0.08,40633,38109,2524,10689,90111.4767,90111.4767,1374,FUTSTKADANIGREEN26-05-2026XX0,FUTSTK,6.62
RR,BAJFINANCE,Stock Futures,26-May-2026,-,0,922.75,919.95,0.3,78777,76273,2504,6741,46683.27877,46683.27877,928,FUTSTKBAJFINANCE26-05-2026XX0,FUTSTK,3.28
RR,HDFCLIFE,Stock Futures,26-May-2026,-,0,611.95,606.9,0.83,47346,44895,2451,4805,32412.8002,32412.8002,611.25,FUTSTKHDFCLIFE26-05-2026XX0,FUTSTK,5.46
RR,TMPV,Stock Options,26-May-2026,Call,370,1.85,1.5,23.33,8360,5955,2405,29356,655.22592,655.22592,360.5,OPTSTKTMPV26-05-2026CE370,OPTSTK,40.39
RR,TCS,Stock Futures,30-Jun-2026,-,0,2311.5,2260.5,2.26,32105,29719,2386,9107,37023.98484,37023.98484,2330,FUTSTKTCS30-06-2026XX0,FUTSTK,8.03
RR,TATAPOWER,Stock Futures,26-May-2026,-,0,414,404,2.48,40372,38010,2362,10147,60688.80112,60688.80112,413.9,FUTSTKTATAPOWER26-05-2026XX0,FUTSTK,6.21
RR,COFORGE,Stock Futures,26-May-2026,-,0,1416,1348.1,5.04,44281,41995,2286,17954,95453.56312,95453.56312,1411.9,FUTSTKCOFORGE26-05-2026XX0,FUTSTK,5.44
RR,BANKNIFTY,Index Options,26-May-2026,Put,54000,927.25,917,1.12,24687,22472,2215,61966,15707.6374,15707.6374,53409.15,OPTIDXBANKNIFTY26-05-2026PE54000,OPTIDX,9.86
RR,NIFTY,Index Options,26-May-2026,Put,24100,545.9,541.15,0.88,12076,9877,2199,9838,3020.60049,3020.60049,23618,OPTIDXNIFTY26-05-2026PE24100,OPTIDX,22.26
