symbol,shortName,price,changePct,volume
BLBD,Blue Bird Corporation,64.65,-11.12,855075
WRBY,Warby Parker Inc.,25.51,-10.96,11024654
AYA,Aya Gold & Silver Inc.,16.52,-10.7,883151
FRMI,Fermi Inc.,5.87,-10.38,19251797
UEC,Uranium Energy Corp.,11.91,-9.77,15493419
CHWY,"Chewy, Inc.",19.66,-9.11,19073037
HSAI,Hesai Group,20.025,-9.02,4424867
FLNC,"Fluence Energy, Inc.",17.91,-8.34,9261330
CDLR,Cadeler A/S,26.27,-7.95,272980
MMYT,MakeMyTrip Limited,41.46,-7.72,1970876
PPTA,Perpetua Resources Corp.,24.64,-7.51,2127709
EOSE,"Eos Energy Enterprises, Inc.",6.88,-7.4,24727711
RARE,Ultragenyx Pharmaceutical Inc.,22.45,-7.19,2092741
DRVN,Driven Brands Holdings Inc.,13.23,-7.09,1973477
MWH,"SOLV Energy, Inc.",37.56,-7.08,1543968
