symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
INTC,Intel Corporation,129.44,4.55,3.64,178149944,109615585,650565451776
PLUG,"Plug Power, Inc.",3.52,0.4,12.82,148994237,77755361,4909786112
NOK,Nokia Corporation Sponsored,13.92,1.1,8.58,142187347,77965273,77708877824
NVDA,NVIDIA Corporation,219.44,4.22,1.96,156887900,171175101,5333489549312
IREN,IREN LIMITED,55.15,-6.05,-9.89,108393609,36433250,18296518656
POET,POET Technologies Inc.,13.9,2.96,27.09,80618998,24142400,2122685440
CTRA,Coterra Energy Inc.,32.56,-3.07,-8.62,73317709,9807506,24724652032
TSLA,"Tesla, Inc.",445.0,16.65,3.89,75805866,62415131,1671297105920
NVTS,Navitas Semiconductor Corporati,22.65,4.45,24.45,68768289,26002060,5293603328
SOFI,"SoFi Technologies, Inc.",16.26,0.51,3.24,69313845,66065398,20857372672
MU,"Micron Technology, Inc.",795.33,48.54,6.5,69115976,42583256,896920715264
ACHR,Archer Aviation Inc.,6.54,0.06,0.93,65519520,29582498,4967771136
IONQ,"IonQ, Inc.",56.89,7.65,15.54,61038663,26648056,21235326976
NU,Nu Holdings Ltd.,13.5,-0.3,-2.17,51740346,51353061,65618092032
RKLB,Rocket Lab Corporation,117.35,11.8,11.18,53473345,22327496,67916427264
GRAB,Grab Holdings Limited,3.65,-0.07,-1.88,50267363,49562151,14928499712
AAL,"American Airlines Group, Inc.",12.79,-0.56,-4.19,45851282,66832398,8459116032
BBAI,"BigBear.ai, Inc.",4.32,0.14,3.35,45192033,36252155,2069061632
MARA,"MARA Holdings, Inc.",13.39,0.45,3.48,48772638,47140976,5104231424
SMR,NuScale Power Corporation,13.29,0.74,5.9,47490803,28102438,4599746048
RDW,Redwire Corporation,12.16,1.09,9.85,44673047,20707906,2418851584
F,Ford Motor Company,12.05,-0.27,-2.19,44500082,53232465,48015548416
BBD,Banco Bradesco Sa,3.65,-0.1,-2.67,43686594,38271736,38583099392
SNAP,Snap Inc.,5.75,-0.33,-5.43,42210198,50831495,9528675328
ONDS,Ondas Inc,9.42,0.36,3.97,43588797,73163848,4616169984
