date,symbol,name,clientName,buySell,qty,watp,remarks
11-May-2026,KALPATARU,Kalpataru Limited,GSS INDIA OPPORTUNITIES AIF -SCHEME I,BUY,4832604,385.15,
11-May-2026,KALPATARU,Kalpataru Limited,GSS OPPORTUNITIES INVESTMENT I VCC,SELL,4832604,385.15,
