symbol,shortName,price,changePct,volume
LEGN,Legend Biotech Corporation,19.27,-13.28,10062494
SNDK,Sandisk Corporation,1278.23,-11.02,20903434
VG,"Venture Global, Inc.",12.82,-10.41,19883533
SIMO,Silicon Motion Technology Corpo,244.45,-9.76,1423861
ICHR,Ichor Holdings,78.3,-9.53,1282194
MXL,"MaxLinear, Inc",64.86,-9.4,6916078
SHAZ,"SharonAI Holdings, Inc.",58.79,-9.4,2334018
CORZ,"Core Scientific, Inc.",20.74,-8.84,9840416
SM,SM Energy Company,30.3,-8.71,3079492
HUN,Huntsman Corporation,11.74,-8.28,3704516
PTEN,"Patterson-UTI Energy, Inc.",9.41,-7.75,9394920
SKHY,SK hynix Inc.,143.02,-7.47,49594700
MTDR,Matador Resources Company,47.17,-7.16,3758420
CRGY,Crescent Energy Company,10.48,-7.01,5782564
WTTR,"Select Water Solutions, Inc.",18.81,-6.74,1941646
