symbol,shortName,price,changePct,volume
SLBT,SL Science Holding Limited,5.99,34.61,1147096
PLBL,Polibeli Group Ltd,10.26,18.2,846510
GPC,Genuine Parts Company,132.57,12.92,4432544
SLS,"SELLAS Life Sciences Group, Inc",14.98,12.89,12072478
CAR,"Avis Budget Group, Inc.",163.44,11.23,539323
AVAV,"AeroVironment, Inc.",190.89,10.7,4117679
NKTR,Nektar Therapeutics,71.04,10.33,1094939
MRNA,"Moderna, Inc.",79.76,10.01,13227210
IMNM,"Immunome, Inc.",23.61,9.87,1853646
FIG,"Figma, Inc.",21.34,9.49,22300753
WAY,Waystar Holding Corp.,23.46,9.47,6823142
ARIS,Aris Mining Corporation,16.0,9.44,1812982
CRNX,"Crinetics Pharmaceuticals, Inc.",42.23,9.18,2176382
ABVX,Abivax SA,144.65,9.12,3932626
HONA,,247.15,8.74,4946262
