changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
-48584,23-Jun-2026,Index Options,156758,0.1,Call,-99.67,53359.63582,30.65,205342,24200,NIFTY,53359.63582,SS,23824.1,13219283,OPTIDXNIFTY23-06-2026CE24200,OPTIDX,-23.66
-46234,23-Jun-2026,Index Options,116175,0.1,Call,-99.13,9321.92983,11.55,162409,24300,NIFTY,9321.92983,SS,23824.1,7206749,OPTIDXNIFTY23-06-2026CE24300,OPTIDX,-28.47
-28805,23-Jun-2026,Index Options,13421,0.05,Put,-80,24.15455,0.25,42226,21200,NIFTY,24.15455,SS,23824.1,168913,OPTIDXNIFTY23-06-2026PE21200,OPTIDX,-68.22
-24519,23-Jun-2026,Index Options,52954,0.05,Call,-94.12,203.54652,0.85,77473,25100,NIFTY,203.54652,SS,23824.1,626297,OPTIDXNIFTY23-06-2026CE25100,OPTIDX,-31.65
-19244,23-Jun-2026,Index Options,15365,0.05,Put,-88.89,34.7297,0.45,34609,22000,NIFTY,34.7297,SS,23824.1,157148,OPTIDXNIFTY23-06-2026PE22000,OPTIDX,-55.6
-16263,23-Jun-2026,Index Options,99955,0.05,Put,-94.44,742.17116,0.9,116218,23000,NIFTY,742.17116,SS,23824.1,2154343,OPTIDXNIFTY23-06-2026PE23000,OPTIDX,-13.99
-16053,23-Jun-2026,Index Options,97127,0.05,Call,-96.3,774.78868,1.35,113180,24800,NIFTY,774.78868,SS,23824.1,1727511,OPTIDXNIFTY23-06-2026CE24800,OPTIDX,-14.18
-15192,23-Jun-2026,Index Options,144530,0.05,Call,-98.44,2471.46806,3.2,159722,24500,NIFTY,2471.46806,SS,23824.1,3960686,OPTIDXNIFTY23-06-2026CE24500,OPTIDX,-9.51
-12282,23-Jun-2026,Index Options,18881,0.05,Put,-92.86,63.73731,0.7,31163,22900,NIFTY,63.73731,SS,23824.1,233470,OPTIDXNIFTY23-06-2026PE22900,OPTIDX,-39.41
-11549,23-Jun-2026,Index Options,143680,0.05,Call,-99.9,141926.10617,48.85,155229,24150,NIFTY,141926.10617,SS,23824.1,16429485,OPTIDXNIFTY23-06-2026CE24150,OPTIDX,-7.44
-11034,23-Jun-2026,Index Options,136924,0.05,Call,-95,702.55949,1,147958,25000,NIFTY,702.55949,SS,23824.1,2001594,OPTIDXNIFTY23-06-2026CE25000,OPTIDX,-7.46
-9687,23-Jun-2026,Index Options,15987,0.1,Put,-84.62,54.02306,0.65,25674,22800,NIFTY,54.02306,SS,23824.1,207781,OPTIDXNIFTY23-06-2026PE22800,OPTIDX,-37.73
-8451,23-Jun-2026,Index Options,13116,0.05,Call,-88.89,26.49604,0.45,21567,25800,NIFTY,26.49604,SS,23824.1,94798,OPTIDXNIFTY23-06-2026CE25800,OPTIDX,-39.18
-8133,23-Jun-2026,Index Options,30951,0.05,Call,-85.71,45.77213,0.35,39084,26000,NIFTY,45.77213,SS,23824.1,227157,OPTIDXNIFTY23-06-2026CE26000,OPTIDX,-20.81
-8107,23-Jun-2026,Index Options,32927,0.1,Call,-93.33,511.95186,1.5,41034,24750,NIFTY,511.95186,SS,23824.1,1009767,OPTIDXNIFTY23-06-2026CE24750,OPTIDX,-19.76
-6685,23-Jun-2026,Index Options,118478,0.05,Put,-97.14,1259.71079,1.75,125163,23500,NIFTY,1259.71079,SS,23824.1,2981564,OPTIDXNIFTY23-06-2026PE23500,OPTIDX,-5.34
-6267,23-Jun-2026,Index Options,17984,0.05,Call,-93.75,133.70527,0.8,24251,25150,NIFTY,133.70527,SS,23824.1,388114,OPTIDXNIFTY23-06-2026CE25150,OPTIDX,-25.84
-6201,23-Jun-2026,Index Options,5568,0.05,Put,-85.71,11.07795,0.35,11769,21500,NIFTY,11.07795,SS,23824.1,58769,OPTIDXNIFTY23-06-2026PE21500,OPTIDX,-52.69
-5959,23-Jun-2026,Index Options,90910,0.05,Call,-99.73,14187.74209,18.75,96869,24250,NIFTY,14187.74209,SS,23824.1,7018423,OPTIDXNIFTY23-06-2026CE24250,OPTIDX,-6.15
-5565,23-Jun-2026,Index Options,1849,0.05,Put,-80,7.61458,0.25,7414,21300,NIFTY,7.61458,SS,23824.1,46859,OPTIDXNIFTY23-06-2026PE21300,OPTIDX,-75.06
-5317,23-Jun-2026,Index Options,44835,0.05,Call,-93.75,136.40636,0.8,50152,25200,NIFTY,136.40636,SS,23824.1,446502,OPTIDXNIFTY23-06-2026CE25200,OPTIDX,-10.6
-4708,23-Jun-2026,Index Options,2905,0.05,Put,-88.89,8.76232,0.45,7613,21800,NIFTY,8.76232,SS,23824.1,40850,OPTIDXNIFTY23-06-2026PE21800,OPTIDX,-61.84
-4375,23-Jun-2026,Index Options,33035,0.05,Put,-90.91,58.834,0.55,37410,22500,NIFTY,58.834,SS,23824.1,258611,OPTIDXNIFTY23-06-2026PE22500,OPTIDX,-11.69
-4237,23-Jun-2026,Index Options,9135,0.05,Put,-91.67,39.03373,0.6,13372,22700,NIFTY,39.03373,SS,23824.1,127770,OPTIDXNIFTY23-06-2026PE22700,OPTIDX,-31.69
-4220,23-Jun-2026,Index Options,103653,0.05,Call,-99.07,3556.57125,5.35,107873,24400,NIFTY,3556.57125,SS,23824.1,4716938,OPTIDXNIFTY23-06-2026CE24400,OPTIDX,-3.91
