symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
AAL,"American Airlines Group, Inc.",16.14,0.06,0.37,166082368,74598640,10674755584
SPCX,Space Exploration Technologies ,156.11,1.51,0.98,153240080,268629350,2056622309376
INTC,Intel Corporation,132.28,-8.66,-6.14,131263983,133682450,664839258112
NVDA,NVIDIA Corporation,200.04,-8.61,-4.13,152123958,161827462,4845168754688
SOFI,"SoFi Technologies, Inc.",17.29,0.19,1.11,88981838,67844951,22178596864
NOK,Nokia Corporation Sponsored,13.7,-0.73,-5.06,81246993,109612225,76480716800
T,AT&T Inc.,22.81,0.71,3.21,59896561,41342230,158491607040
F,Ford Motor Company,14.0,-0.11,-0.78,57855214,57017464,55785697280
PFE,"Pfizer, Inc.",24.72,-0.36,-1.44,81943195,36596887,140890259456
KEEL,Keel Infrastructure Corp.,6.6,-0.06,-0.9,59093999,42584225,3985269248
GRAB,Grab Holdings Limited,3.46,-0.03,-0.86,53316284,54423233,14151399424
SMCI,"Super Micro Computer, Inc.",33.32,-2.14,-6.03,55641861,49199212,21553809408
MU,"Micron Technology, Inc.",1051.77,-159.61,-13.18,58149691,50656600,1186116796416
PATH,"UiPath, Inc.",10.16,0.0,0.0,49327201,33933183,5264101888
TSLA,"Tesla, Inc.",381.61,-23.44,-5.79,49777273,57648448,1433221726208
QBTS,D-Wave Quantum Inc.,25.03,0.56,2.29,46483561,34223954,9272243200
PLUG,"Plug Power, Inc.",2.71,-0.08,-2.87,48361515,74096648,3780637184
ONDS,Ondas Inc,8.53,-0.36,-4.05,44685449,67829354,4437454336
RGTI,"Rigetti Computing, Inc.",21.28,-0.1,-0.47,45869782,41016159,7073446912
SNAP,Snap Inc.,4.46,-0.17,-3.67,42317236,52580311,7390938112
INFQ,"Infleqtion, Inc.",15.96,1.75,12.32,42255890,14362845,3482422528
MARA,"MARA Holdings, Inc.",14.7,-0.15,-1.01,41924468,43880506,5604676096
AMZN,"Amazon.com, Inc.",234.11,1.32,0.57,56989747,45341033,2518346891264
NFLX,"Netflix, Inc.",72.82,-0.06,-0.08,50531435,40060079,306630361088
HOOD,"Robinhood Markets, Inc.",103.25,-2.46,-2.33,40410126,31267822,92977152000
