symbol,shortName,price,changePct,volume
LCID,"Lucid Group, Inc.",5.95,28.79,56365785
CHRN,ChronoScale Holdings Corporatio,29.63,28.77,858955
AEHR,Aehr Test Systems,87.79,21.91,12895352
MAAS,Maase Inc.,16.57,17.43,63799
PYPL,"PayPal Holdings, Inc.",55.52,17.2,89318737
MANE,"Veradermics, Incorporated",123.7,12.28,1334320
MNSO,MINISO Group Holding Limited,12.62,9.45,1510931
ERAS,"Erasca, Inc.",21.26,9.03,8593464
RH,RH,190.26,9.0,1293886
MESO,Mesoblast Limited,18.24,8.96,488360
COMP,"Compass, Inc.",12.65,8.3,16688803
SAH,"Sonic Automotive, Inc.",99.73,7.96,323802
BILL,"BILL Holdings, Inc.",44.63,7.88,3458083
AEO,"American Eagle Outfitters, Inc.",17.41,7.8,5542473
CWK,Cushman & Wakefield Ltd.,13.83,7.46,1910027
