symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime
ESDS,ESDSEQN,1582.7,10,15676632,15676632,23490649220.4,1438.85,-,,1582.7,756,143.85,1520,1582.2,1582.7,1330,2026-09-10 16:00:28
HDFCBANK,HDFCBANKEQN,693.8,0.98,27108053,27108053,18712417905.37,687.1,19-Jun-2026,,1020.5,686.2,6.7,687.1,693.8,694.5,686.2,2026-09-10 16:00:28
SWANCORP,SWANCORPEQN,295.95,6.59,53152302,53152302,16156705238.94,277.65,28-Aug-2026,,506,273.65,18.3,276.7,298.15,315.35,274.5,2026-09-10 16:00:28
MOLBIO,MOLBIOEQN,1509.4,19.99,11329700,11329700,16024387789,1257.9,-,,1509.4,926.35,251.5,1271,1509.4,1509.4,1271,2026-09-10 16:00:28
ICICIBANK,ICICIBANKEQN,1384.5,-0.33,10580641,10580641,14620329733.8,1389.1,03-Aug-2026,,1480,1187.6,-4.6,1385.9,1384.5,1393,1373.9,2026-09-10 16:00:28
IDEA,IDEAEQN,14.9,-3.99,888431120,888431120,13486384401.6,15.52,20-Aug-2024,,15.79,7.16,-0.62,15.7,14.9,15.7,14.82,2026-09-10 16:00:28
ATHERENERG,ATHERENERGEQN,1658.3,4.96,8086256,8086256,13242376275.84,1580,-,,1744,522,78.3,1614,1658.3,1661.9,1607.4,2026-09-10 16:00:28
SHAREINDIA,SHAREINDIAEQN,195.42,3.15,58611177,58611177,12057491332.44,189.46,09-Sep-2026,,212.33,115.36,5.96,191.48,196.32,212.33,191.01,2026-09-10 16:00:28
RELIANCE,RELIANCEEQN,1274,-0.39,9296079,9296079,11838184763.34,1279,05-Jun-2026,,1611.8,1249.8,-5,1278.5,1274,1285.3,1266.3,2026-09-10 16:00:28
WELCORP,WELCORPEQN,2767.1,6.08,4261554,4261554,11683859986.26,2608.5,30-Jun-2026,,2784.8,710,158.6,2614,2776.9,2784.8,2606.5,2026-09-10 16:00:28
GRAPHITE,GRAPHITEEQN,823,-2.56,11528239,11528239,9758077901.55,844.65,20-Jul-2026,,874.35,516,-21.65,839.15,824.8,868.95,820.1,2026-09-10 16:00:28
INFY,INFYEQN,1036.5,0.14,8998529,8998529,9314197397.32,1035,10-Jun-2026,,1728,982.4,1.5,1039.6,1036.5,1046.6,1027.3,2026-09-10 16:00:28
IFCI,IFCIEQN,85.2,-4.23,106219079,106219079,9197510050.61,88.96,19-Sep-2024,,107.5,46.23,-3.76,89.34,85.15,90.4,84.6,2026-09-10 16:00:28
REDINGTON,REDINGTONEQN,395,4.48,23154564,23154564,9065937988.56,378.05,03-Jul-2026,,403.25,191.31,16.95,389,392,403.25,380.3,2026-09-10 16:00:28
BHARTIARTL,BHARTIARTLEQN,1839,1.34,4588126,4588126,8397738780.32,1814.7,24-Jul-2026,,2174.5,1740.5,24.3,1815.1,1839,1849,1814,2026-09-10 16:00:28
MANINDS,MANINDSEQN,879,10.91,8839846,8839846,7765804711,792.55,19-Sep-2024,,944,302.05,86.45,781,876.45,944,772.65,2026-09-10 16:00:28
NETWEB,NETWEBEQN,5017,2.42,1532072,1532072,7662474259.36,4898.5,07-Aug-2026,,5813,2822.3,118.5,4910,5013.5,5054,4900,2026-09-10 16:00:28
PCJEWELLER,PCJEWELLEREQN,13.8,-0.5,530933799,530933799,7438382523.99,13.87,16-Dec-2024,,15.38,7.47,-0.07,13.95,13.83,14.35,13.68,2026-09-10 16:00:28
BSE,BSEEQN,3306,0.49,2228183,2228183,7317820890.43,3289.8,10-Jul-2026,,4446.8,2021.5,16.2,3288,3306,3312,3261,2026-09-10 16:00:28
OLAELEC,OLAELECEQN,39.11,4.82,180771099,180771099,7135035277.53,37.31,-,,62,22.25,1.8,37.31,39.15,40.51,37.31,2026-09-10 16:00:28
