symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
SPCX,Space Exploration Technologies ,148.18,0.63,0.43,118244140,109502272,1953276100608
NVDA,NVIDIA Corporation,218.36,-5.31,-2.37,100845811,133310522,5272738725888
INTC,Intel Corporation,100.32,-5.92,-5.57,96048649,112830870,530302074880
GRAB,Grab Holdings Limited,3.01,-0.03,-0.99,77977023,46682611,12314818560
NU,Nu Holdings Ltd.,15.02,0.02,0.13,76196351,76723679,72556945408
KVUE,Kenvue Inc.,17.79,0.04,0.23,64356966,20500866,34170562560
PATH,"UiPath, Inc.",13.87,0.3,2.21,65740058,69985312,7228425728
NOK,Nokia Corporation Sponsored,10.62,-0.14,-1.3,64342358,86401085,59457605632
AAL,"American Airlines Group, Inc.",12.85,-0.09,-0.7,62122636,102115920,8506313728
AAPL,Apple Inc.,326.57,11.23,3.56,69820744,53416348,4766021713920
ONDS,Ondas Inc,7.25,-0.04,-0.55,51996330,81391014,4143046144
PLUG,"Plug Power, Inc.",2.11,-0.06,-2.76,49087702,55221509,2948081920
F,Ford Motor Company,13.88,0.43,3.2,47724470,49688311,55347830784
CIFR,Cipher Digital Inc.,15.94,-0.96,-5.68,46980968,30221585,6615589376
OPEN,Opendoor Technologies Inc,2.8,-0.2,-6.67,43618645,55870191,2719054848
RIG,Transocean Ltd (Switzerland),5.77,0.06,1.05,42270398,40375100,6444398080
SNAP,Snap Inc.,5.52,0.21,3.95,40437793,40396903,9335411712
PCG,Pacific Gas & Electric Co.,14.03,-0.16,-1.13,40286186,31082803,30899208192
NIO,NIO Inc.,3.58,-0.12,-3.24,42930347,29781550,8970288128
ABEV,Ambev S.A.,3.04,0.03,1.0,38827277,28560211,46876794880
MARA,"MARA Holdings, Inc.",11.43,-0.49,-4.11,38466924,47064283,4415400960
VALE,VALE S.A.,15.28,-0.16,-1.04,38434230,24815667,65028050944
ORCL,Oracle Corporation,152.94,-8.69,-5.38,50925752,31640679,440539250688
AGNC,AGNC Investment Corp.,10.19,-0.32,-3.04,37447664,17750069,12080055296
BBD,Banco Bradesco Sa,3.58,0.15,4.37,37248476,31962814,37909254144
