symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
AAL,"American Airlines Group, Inc.",18.15,0.08,0.44,166458799,86537201,12004140032
NVDA,NVIDIA Corporation,197.58,-2.51,-1.25,134672012,159181457,4785584996352
T,AT&T Inc.,20.48,-0.22,-1.06,111479482,45319903,142301970432
OPEN,Opendoor Technologies Inc,4.94,0.32,6.93,99029365,40712481,4765798912
SPCX,Space Exploration Technologies ,157.54,-13.32,-7.8,102733579,183108358,2075461287936
INTC,Intel Corporation,127.02,-12.61,-9.03,110803268,136835729,638402494464
ONDS,Ondas Inc,7.92,-0.32,-3.88,87741999,67536747,4196225536
SOFI,"SoFi Technologies, Inc.",18.44,0.51,2.84,80234467,71470706,23653748736
NKE,"Nike, Inc.",43.06,2.01,4.9,80065825,24041391,63766999040
PATH,"UiPath, Inc.",11.55,0.68,6.26,65959655,38211540,5984289280
NU,Nu Holdings Ltd.,13.39,0.03,0.22,60771935,51110791,65098715136
CRWV,"CoreWeave, Inc.",85.685,-13.86,-13.92,59681417,30969534,46747197440
BBD,Banco Bradesco Sa,3.48,0.01,0.29,57034847,32095568,36786077696
NOK,Nokia Corporation Sponsored,12.91,-0.37,-2.79,54999928,114262696,72070512640
RIG,Transocean Ltd (Switzerland),4.87,-0.02,-0.41,59949114,33421050,5389922816
PLTR,Palantir Technologies Inc.,125.73,9.06,7.77,57264188,45180922,301414055936
PLUG,"Plug Power, Inc.",2.64,-0.07,-2.58,49320572,75352683,3682982400
SNAP,Snap Inc.,4.75,0.31,6.98,50270048,49613200,7871514624
VZ,Verizon Communications Inc.,41.99,-0.35,-0.83,47036846,25414927,175331721216
META,"Meta Platforms, Inc.",612.91,49.62,8.81,45057181,16598149,1555824902144
AMZN,"Amazon.com, Inc.",241.7,3.36,1.41,52701301,50598893,2599993475072
MU,"Micron Technology, Inc.",1032.28,-122.01,-10.57,50305786,51120540,1165850050560
GRAB,Grab Holdings Limited,3.89,0.12,3.18,43784956,54093665,15910099968
NFLX,"Netflix, Inc.",74.19,2.79,3.91,43393646,41212096,312399167488
JOBY,"Joby Aviation, Inc.",8.84,-0.08,-0.9,45910150,32432755,8695403520
