symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
MASKINVEST,BE,156.81,7.46,   4.99,5,156.81,150.09,246.09,114.94,0.00441,0.006744653999999999
SVPGLOB,BE,3.88,0.06,   1.57,5,4.01,3.85,6.89,2.18,0.16775,0.006592575
SABEVENTS,BE,8.4,0.2,   2.44,5,8.61,7.86,18.25,5.6,0.07713,0.0063323730000000005
UMESLTD,EQ,6.11,0.29,   4.98,5,6.11,6.11,7.14,3.88,0.09712,0.005934032
TRANSWIND,SM,13.15,0.6,   4.78,5,13.15,13.15,25.5,12.55,0.04,0.00526
GML,SM,19,0.9,   4.97,5,19,19,54,15.15,0.02,0.0038
PERFECT,SZ,2.7,0.1,   3.85,5,2.7,2.7,13.75,1.3,0.12,0.00324
FLFL,BZ,1.44,0.04,   2.86,5,1.47,1.4,2.24,1.11,0.18969,0.002731536
PRUDMOULI,BE,15.35,0.32,   2.13,5,15.78,14.33,48.6,11.26,0.01785,0.002707845
21STCENMGM,EQ,32.27,-0.12,  -0.37,2,33.03,32.11,64.19,28.25,0.00358,0.001177104
SONAL,EQ,97.65,4.65,   5.00,5,97.65,90.6,104.75,87.4,0.00056,0.000520016
MORARJEE,BZ,8.84,0.42,   4.99,5,8.84,8.42,10.52,5.58,0.00478,0.00041825
FELDVR,BZ,2.55,0.12,   4.94,5,2.55,2.5,3.9,2.28,0.00526,0.00013202599999999999
ASIFRG,SF,10.73,-0.27,  -2.45,10,12.1,10.73,12.1,10.73,2e-05,2.282e-06
