symbol,shortName,price,changePct,volume
CHRN,ChronoScale Corporation,17.64,-20.61,804176
NBIS,Nebius Group N.V.,229.18,-17.01,29872292
CRWV,"CoreWeave, Inc.",85.685,-13.92,59681417
BRUN,Boost Run Inc.,33.5,-13.68,1829319
GLW,Corning Incorporated,220.63,-13.62,20500490
RIOT,"Riot Platforms, Inc.",23.96,-12.49,21622438
MXL,"MaxLinear, Inc",112.39,-12.22,4258001
AEHR,Aehr Test Systems,84.425,-12.11,1345447
KLAC,KLA Corporation,266.19,-11.77,22784349
TER,"Teradyne, Inc.",427.34,-11.68,5419256
FCEL,"FuelCell Energy, Inc.",31.89,-11.44,15096992
ALAB,"Astera Labs, Inc.",430.86,-10.8,5808120
FPS,"Forgent Power Solutions, Inc.",49.9,-10.67,9196719
SNDK,Sandisk Corporation,2032.22,-10.62,10836496
MU,"Micron Technology, Inc.",1032.28,-10.57,50305786
