symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime
BALRAMCHIN,BALRAMCHINEQN,778,19.55,29943673,33514941,24705203608.74,650.8,17-Nov-2025,,780.95,393.55,127.2,658.25,767.1,780.95,655.05,2026-08-20 16:00:29
NETWEB,NETWEBEQN,5411,6.83,4086354,4457308,23850119073.32,5065,07-Aug-2026,,5449.9,2037.3,346,5095.7,5419.8,5449.9,5093,2026-08-20 16:00:29
DHOOTTRANS,DHOOTTRANSEQN,1470.85,4.76,13085775,14246563,20664639631.5,1404.05,,,1495,1131,66.8,1400,1468.65,1495,1355,2026-08-20 16:00:29
BSE,BSEEQN,3291.1,-1.82,4804986,5391606,18041391997.2,3352,10-Jul-2026,,4446.8,2021.5,-60.9,3384,3291.1,3412,3280,2026-08-20 16:00:29
SHIPROCKET,SHIPROCKETEQN,138.01,-3.79,96394135,110197387,16531811997.74,143.45,,,156.9,131,-5.44,149.9,141.65,156.9,137.86,2026-08-20 16:00:29
HDFCBANK,HDFCBANKEQN,725.05,0.7,15568201,17603805,12782122810.5,720,19-Jun-2026,,1020.5,715.1,5.05,725.5,725.05,728.3,724.3,2026-08-20 16:00:29
BLEL,BLELEQN,506,0.76,21477526,23599466,12542644189.68,502.2,,,548,458.7,3.8,525.1,504.25,548,497.2,2026-08-20 16:00:29
MCX,MCXEQN,3126,5.15,3611980,3923221,12110120118.38,2973,02-Jan-2026,,3480,1460.8,153,3020,3126,3133.2,3006,2026-08-20 16:00:29
ETERNAL,ETERNALEQN,327.95,2.48,33357463,36661268,11989334474.04,320,,,368.45,212.6,7.95,323.85,327.95,328.5,321.35,2026-08-20 16:00:29
ICICIBANK,ICICIBANKEQN,1411.9,0.71,7313627,8425049,11867271269.93,1402,03-Aug-2026,,1480,1187.6,9.9,1407.8,1411.9,1413,1403.3,2026-08-20 16:00:29
MILKYMIST,MILKYMISTEQN,186.11,-6.78,49640469,56542171,11110536601.5,199.65,,,211.8,165,-13.54,207.8,184.89,211.8,181.5,2026-08-20 16:00:29
GROWW,GROWWEQN,201.2,3.64,41013875,49550959,9825459660.11,194.14,,,227.2,112,7.06,195.24,200.72,202,193.71,2026-08-20 16:00:29
INFY,INFYEQN,1130,0.91,7960456,8559841,9708400465.38,1119.8,10-Jun-2026,,1728,982.4,10.2,1143,1130,1144.7,1125.7,2026-08-20 16:00:29
DIXON,DIXONEQN,14850,2.68,528431,639826,9434791018.62,14462,16-Sep-2025,,18471,9600,388,14510,14850,14953,14470,2026-08-20 16:00:29
HSCL,HSCLEQN,702.9,-6.31,9914690,12482496,9009491137.92,750.25,22-May-2026,,819.5,418.5,-47.35,755,704.2,767.6,695.5,2026-08-20 16:00:29
BHARTIARTL,BHARTIARTLEQN,1941.7,1.02,3715286,4390604,8540119934.36,1922,24-Jul-2026,,2174.5,1740.5,19.7,1944,1941.7,1952.2,1933,2026-08-20 16:00:29
SILVERBEES,SILVERBEESEQN,225.37,4.13,34258119,36624820,8269151859.6,216.43,,,360,106.64,8.94,225.13,225.43,226.56,224.2,2026-08-20 16:00:29
LICI,LICIEQN,419,1.43,17585242,19032512,7995367966.08,413.1,25-Jun-2026,,468.48,360.75,5.9,415.05,419,424.4,412.95,2026-08-20 16:00:29
PAYTM,PAYTMEQN,1603.6,1.27,4468380,4831205,7772104419.65,1583.5,,,1657.6,930.6,20.1,1590,1603.6,1622.8,1587.1,2026-08-20 16:00:29
ASTERDM,ASTERDMEQN,765.9,-4.29,7554530,9884475,7637634987.75,800.2,02-Apr-2026,,891.3,519.1,-34.3,798.35,765.65,798.35,756.05,2026-08-20 16:00:29
