symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
SPCX,Space Exploration Technologies ,134.0,-5.65,-4.05,117409257,120249602,1766358515712
ABEV,Ambev S.A.,2.83,0.02,0.71,107068503,27379322,43638595584
MRNA,"Moderna, Inc.",133.32,-41.06,-23.55,97325610,9954896,53226135552
WBS,Webster Financial Corporation,77.57,-0.4,-0.51,91306424,6069951,12568934400
MARA,"MARA Holdings, Inc.",11.15,1.5,15.54,79700697,44293851,4307236864
WMT,Walmart Inc.,103.84,-10.46,-9.15,83146956,23908620,826366885888
INTC,Intel Corporation,92.13,-0.67,-0.72,85205887,119817304,487008862208
NU,Nu Holdings Ltd.,14.21,-0.4,-2.74,70724062,76777100,68644085760
NVDA,NVIDIA Corporation,216.85,-0.71,-0.33,89838813,143105546,5252323999744
PATH,"UiPath, Inc.",15.92,0.14,0.89,66392226,66694411,8248474624
ONDS,Ondas Inc,8.38,-0.52,-5.84,68145371,87918751,4781228544
AAL,"American Airlines Group, Inc.",13.52,-0.34,-2.45,61281970,108956440,8949833728
BMNR,"BitMine Immersion Technologies,",21.57,1.33,6.57,60193817,36153553,13011592192
BULL,Webull Corporation,8.85,0.21,2.43,50478336,11878450,4706595328
SMCI,"Super Micro Computer, Inc.",36.5,-0.08,-0.22,49198482,59137996,23610865664
PCG,Pacific Gas & Electric Co.,17.96,0.31,1.76,45819443,20034777,39554510848
IOVA,"Iovance Biotherapeutics, Inc.",8.99,1.0,12.52,43585626,16253483,4072212992
MSTR,Strategy Inc,112.39,8.14,7.81,46401256,20962716,44650487808
PURR,Hyperliquid Strategies Inc,10.08,0.69,7.35,43121278,14136553,2021682048
SOFI,"SoFi Technologies, Inc.",17.92,-0.5,-2.71,43866127,77227801,23144939520
PLUG,"Plug Power, Inc.",2.2,-0.05,-2.22,42854759,60550440,3073829632
AAPL,Apple Inc.,311.3,-5.53,-1.75,38182357,56628412,4543167856640
KEEL,Keel Infrastructure Corp.,3.37,0.12,3.69,37939197,45910722,2081221504
F,Ford Motor Company,13.99,-0.51,-3.52,40887693,57241567,55786463232
VALE,VALE S.A.,14.23,0.33,2.37,36311198,22296579,60559499264
