symbol,shortName,price,changePct,volume
MRNA,"Moderna, Inc.",133.32,-23.55,97325610
AADX,"Applied Aerospace & Defense, In",15.5,-10.25,2929573
EROC,"ERock, Inc.",13.01,-9.4,3612130
WMT,Walmart Inc.,103.84,-9.15,83146956
INIO,INNIO N.V.,23.0,-8.8,5304494
RH,RH,156.41,-7.98,784827
XE,"X-Energy, Inc.",18.29,-7.86,4968346
SEI,"Solaris Energy Infrastructure, ",54.24,-7.76,4495045
KC,Kingsoft Cloud Holdings Limited,11.42,-7.68,2403273
AVAV,"AeroVironment, Inc.",159.79,-7.5,1597677
ATAT,Atour Lifestyle Holdings Limite,34.25,-7.43,2280589
KTOS,Kratos Defense & Security Solut,56.18,-7.23,4365919
EQPT,EquipmentShare.com Inc,18.27,-7.16,4588160
MOG-A,Moog Inc.,381.52,-7.16,307062
SHAZ,"SharonAI Holdings, Inc.",60.85,-7.03,2308317
