symbol,shortName,price,changePct,volume
HURN,Huron Consulting Group Inc.,170.37,40.37,1445822
MANH,"Manhattan Associates, Inc.",204.02,21.32,2837843
LAD,"Lithia Motors, Inc.",427.48,19.3,1640357
EXLS,"ExlService Holdings, Inc.",35.99,17.88,7620699
CBZ,"CBIZ, Inc.",54.9,17.56,15117537
GRMN,Garmin Ltd.,294.83,16.23,3141680
AVTR,"Avantor, Inc.",14.38,15.78,39792379
EDU,New Oriental Education & Techno,58.58,15.34,1439152
CAKE,The Cheesecake Factory Incorpor,101.14,13.63,5376674
GEHC,GE HealthCare Technologies Inc.,71.9,12.15,15217194
MBIN,Merchants Bancorp,54.28,11.3,407614
CTSH,Cognizant Technology Solutions ,55.97,11.25,18053471
NP,Neptune Insurance Holdings Inc.,35.11,10.13,1598242
TEVA,Teva Pharmaceutical Industries ,34.71,9.6,16856573
QURE,uniQure N.V.,40.07,9.3,3794248
