symbol,regPrice,postPrice,postChange,direction
META,585.61,537.02,-8.3,DOWN
MSFT,390.54,420.99,7.8,UP
ARM,224.89,210.53,-6.38,DOWN
QCOM,155.68,147.33,-5.36,DOWN
SBUX,104.14,109.5,5.15,UP
LRCX,252.35,264.8,4.93,UP
SNOW,282.9,293.37,3.7,UP
DDOG,264.2,273.15,3.39,UP
MDB,321.1,330.06,2.79,UP
GTLB,34.03,34.95,2.7,UP
CRWD,179.38,183.01,2.02,UP
