symbol,shortName,price,changePct,volume
ANF,Abercrombie & Fitch Company,147.75,35.67,17199199
BHVN,Biohaven Ltd.,16.95,17.87,15739050
BZ,KANZHUN LIMITED - American Depo,18.84,15.65,25675703
SEDG,"SolarEdge Technologies, Inc.",33.08,10.71,6533753
SMTC,Semtech Corporation,140.8,10.41,10110045
URBN,"Urban Outfitters, Inc.",82.95,9.46,3578376
SIMO,Silicon Motion Technology Corpo,263.11,8.8,769855
TTMI,"TTM Technologies, Inc.",121.7,8.37,3813355
ERAS,"Erasca, Inc.",19.15,7.83,7690448
BBWI,"Bath & Body Works, Inc.",18.9,7.51,16367004
NBTX,Nanobiotix S.A.,44.5,7.2,240405
BTSG,"BrightSpring Health Services, I",61.35,7.2,2549823
ZYME,Zymeworks Inc.,29.305,6.68,1215227
DAVE,Dave Inc.,372.3,6.53,276484
SMMT,Summit Therapeutics Inc.,14.23,6.51,11613951
