symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
NVDA,NVIDIA Corporation,209.66,-3.39,-1.59,145070184,139068690,5078174924800
WBS,Webster Financial Corporation,77.57,-0.4,-0.51,91306424,5969440,12568934400
PLUG,"Plug Power, Inc.",2.17,-0.1,-4.41,78453994,58682998,3031913728
AAL,"American Airlines Group, Inc.",13.84,-0.11,-0.79,72046482,106204817,9161663488
SNAP,Snap Inc.,5.42,-0.5,-8.45,69118368,41929688,9166291968
INTC,Intel Corporation,88.24,0.76,0.87,72044374,118916674,466445893632
SPCX,Space Exploration Technologies ,139.63,1.68,1.22,59784460,116944180,1840572006400
ONDS,Ondas Inc,8.22,-0.02,-0.24,54997233,86834869,4689939968
PATH,"UiPath, Inc.",16.76,0.1,0.6,56420431,67555042,8683695104
SMR,NuScale Power Corporation,9.27,-0.54,-5.5,51432002,33162347,3804311296
NU,Nu Holdings Ltd.,15.17,0.03,0.2,45069841,77295407,73281552384
MARA,"MARA Holdings, Inc.",11.22,-0.61,-5.16,41655975,46398911,4334278144
CDE,"Coeur Mining, Inc.",21.44,-0.15,-0.69,37368215,37693774,22038927360
SOFI,"SoFi Technologies, Inc.",18.84,-0.16,-0.84,36094255,75910511,24333185024
HL,Hecla Mining Company,20.7,-0.22,-1.03,35419684,34973757,13905607680
NOK,Nokia Corporation Sponsored,10.41,0.06,0.58,36284151,98662988,58281889792
BBD,Banco Bradesco Sa,3.26,0.01,0.31,33603394,30717941,34520715264
NKE,"Nike, Inc.",38.59,-0.89,-2.25,36589168,24566706,57248215040
BMNR,"BitMine Immersion Technologies,",24.91,0.09,0.36,35051044,38347014,15026368512
BSX,Boston Scientific Corporation,48.17,-1.69,-3.39,36555078,21366198,69809389568
IREN,IREN LIMITED,39.58,-2.63,-6.23,37445517,45550190,14145049600
META,"Meta Platforms, Inc.",576.14,6.09,1.07,31187505,18447742,1467720269824
GRAB,Grab Holdings Limited,3.64,0.06,1.68,33091827,46993266,14892339200
SMCI,"Super Micro Computer, Inc.",37.39,-1.07,-2.78,32294665,59233153,24186580992
WMT,Walmart Inc.,104.34,-1.04,-0.99,28200356,24777442,830345904128
