symbol,shortName,price,changePct,volume
AMLX,"Amylyx Pharmaceuticals, Inc.",35.11,63.84,23606658
HAE,Haemonetics Corporation,104.65,15.93,2304602
UGI,UGI Corporation,38.39,9.4,12024592
HTFL,"Heartflow, Inc.",45.23,7.84,4167395
DOO,BRP Inc.,68.58,7.5,781817
NUVB,Nuvation Bio Inc.,6.96,7.41,6534088
DUOL,"Duolingo, Inc.",139.64,7.28,1552735
TRGP,"Targa Resources, Inc.",297.77,7.13,2173891
FRHC,Freedom Holding Corp.,160.8,6.87,195766
CCC,CCC Intelligent Solutions Holdi,7.14,6.73,28260760
BBWI,"Bath & Body Works, Inc.",20.04,6.54,7384278
LEGN,Legend Biotech Corporation,21.92,6.15,3276292
CHRN,ChronoScale Holdings Corporatio,23.53,6.04,161567
PODD,Insulet Corporation,148.03,5.96,1571649
PBLS,"Parabilis Medicines, Inc.",39.35,5.72,635616
