symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime
BSE,BSEEQN,3308,-0.72,5487351,5806922,19054427366.26,3332,10-Jul-2026,,4446.8,2021.5,-24,3298.7,3308,3315.4,3235,2026-08-18 16:00:29
CUPID,CUPIDEQN,282.99,5.86,63312469,68917290,18768245585.7,267.32,09-Mar-2026,,299,32.87,15.67,273,284.03,285.7,257.21,2026-08-18 16:00:29
MILKYMIST,MILKYMISTEQN,181.5,10,92139064,92269979,15998691658.81,140,,,181.5,165,16.5,165,181.5,181.5,165,2026-08-18 16:00:29
RELIANCE,RELIANCEEQN,1322,0.46,8369765,10180567,13466446804.92,1316,05-Jun-2026,,1611.8,1249.8,6,1314,1322,1328.6,1311.2,2026-08-18 16:00:29
BHARTIARTL,BHARTIARTLEQN,1934.2,-1.78,5562221,6710275,13046317963.25,1969.3,24-Jul-2026,,2174.5,1740.5,-35.1,1956.7,1934.2,1959.7,1923.2,2026-08-18 16:00:29
HDFCBANK,HDFCBANKEQN,723,-0.82,14856645,17916507,12983913457.83,729,19-Jun-2026,,1020.5,722,-6,726.3,723,729,723,2026-08-18 16:00:29
NETWEB,NETWEBEQN,5325,2.16,2131515,2395703,12712606313.26,5212.4,07-Aug-2026,,5396.4,2037.3,112.6,5110,5354.5,5396.4,5092.8,2026-08-18 16:00:29
MOLBIO,MOLBIOEQN,1091,4.73,8335254,11279774,12521902712.88,1041.7,,,1177,926.35,49.3,1037,1110.9,1177,1022.65,2026-08-18 16:00:29
TIINDIA,TIINDIAEQN,2959,7.94,3881590,4188005,12284381906.15,2741.4,07-Aug-2026,,3419.9,2164.9,217.6,2755.8,2959,2989,2755.8,2026-08-18 16:00:29
ICICIBANK,ICICIBANKEQN,1412,-0.23,6968595,8345198,11773238434.44,1415.3,03-Aug-2026,,1480,1187.6,-3.3,1410,1412,1416.6,1406.3,2026-08-18 16:00:29
JINDRILL,JINDRILLEQN,648.85,10.69,15725419,17885822,11722725455.24,586.2,14-Aug-2025,,693.5,440.1,62.65,587.1,651.15,673.55,587.1,2026-08-18 16:00:29
DHOOTTRANS,DHOOTTRANSEQN,1305.75,10,9285738,9337722,11589513660.3,1187.05,,,1305.75,1131,118.7,1170,1305.75,1305.75,1165,2026-08-18 16:00:29
IDEA,IDEAEQN,14.12,2.99,752607511,820797167,11409080621.3,13.71,20-Aug-2024,,15.34,6.18,0.41,13.65,14.12,14.31,13.5,2026-08-18 16:00:29
ICIL,ICILEQN,435.9,12.14,23605213,25217573,11162558688.45,388.7,17-Aug-2026,,463.8,216.9,47.2,388.7,437.7,462,387.05,2026-08-18 16:00:29
GROWW,GROWWEQN,193.58,-2.57,53769866,57106951,11052479296.54,198.69,,,227.2,112,-5.11,198.11,193.81,198.25,190.86,2026-08-18 16:00:29
INFY,INFYEQN,1115,-2.18,7279628,8851110,9884742625.8,1139.9,10-Jun-2026,,1728,982.4,-24.9,1124.5,1115,1131.9,1112.5,2026-08-18 16:00:29
INDOMIM,INDOMIMEQN,952.75,10,10230379,10246021,9660255979.43,866.15,,,952.75,700,86.6,910,952.75,952.75,905,2026-08-18 16:00:29
WELSPUNLIV,WELSPUNLIVEQN,177.45,5.53,49826533,53708881,9626242741.63,168.15,10-Jul-2026,,182.9,107.1,9.3,168.3,177.79,182.9,167.8,2026-08-18 16:00:29
MCX,MCXEQN,3040,3.64,2966619,3187586,9616054437.92,2933.1,02-Jan-2026,,3480,1460.8,106.9,2949.9,3040,3058,2916,2026-08-18 16:00:29
MRPL,MRPLEQN,176.95,-0.11,44497996,48280540,8867686781.8,177.15,11-Mar-2026,,212.31,120.45,-0.2,177,177.44,189,176.2,2026-08-18 16:00:29
