symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
SEYAIND,BE,14.81,-0.17,  -1.13,2,15.27,14.75,23.99,8.54,0.03795,0.005764605
WINSOME,BZ,2.45,0.04,   1.66,2,2.45,2.45,2.45,1.59,0.2127,0.00521115
GFSTEELS,BE,12.97,0,   0.00,5,12.97,12.97,12.97,8.01,0.03176,0.004119272
SANWARIA,BZ,0.24,0.01,   4.35,2,0.24,0.24,0.41,0.19,1.4843,0.00356232
BLUECHIP,EQ,2.33,0.04,   1.75,2,2.33,2.33,5.56,1.8,0.1398,0.00325734
SONAL,EQ,88,-2,  -2.22,5,94.5,88,104.75,87.4,0.00297,0.002790612
GVPTECHPP,E1,2.56,-0.39, -13.22,20,3.54,2.41,6,1.6,0.07744,0.002454848
PERFECT,SZ,2.7,0.1,   3.85,5,2.7,2.7,13.75,1.3,0.06,0.00162
735TN43,SG,96.75,4.6,   4.99,5,96.75,96.75,97,91.48,0.001,0.0009675
COMPINFO,BZ,1.35,0.02,   1.50,5,1.39,1.29,2.96,0.91,0.03377,0.00045927200000000004
MASKINVEST,BE,152,-0.05,  -0.03,5,159.65,145,246.09,114.94,0.00024,0.000371112
CLCIND,BE,31.64,1.5,   4.98,5,31.64,31.64,31.64,8.54,0.00106,0.00033538400000000004
UNIVAFOODS,BE,8.17,0,   0.00,5,8.17,8.17,14.24,7.79,0.002,0.0001634
