symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
NVDA,NVIDIA Corporation,224.36,13.22,6.26,197229540,166355890,5434223624192
NOK,Nokia Corporation Sponsored,16.25,1.41,9.5,162090920,92719287,90716176384
INTC,Intel Corporation,109.33,-5.35,-4.67,132924736,120641211,549492588544
SOFI,"SoFi Technologies, Inc.",18.58,0.36,1.98,95268923,66504998,23833331712
F,Ford Motor Company,16.63,-0.81,-4.64,96422974,59839061,66265436160
ONDS,Ondas Inc,13.46,0.24,1.82,83587653,77942352,6795828224
BBAI,"BigBear.ai, Inc.",5.34,0.3,5.95,82818902,38607406,2557590016
HPE,Hewlett Packard Enterprise Comp,47.0,3.96,9.2,90528135,18668061,62362144768
RGTI,"Rigetti Computing, Inc.",25.63,0.09,0.35,69363766,35954757,8519381504
AAL,"American Airlines Group, Inc.",14.34,-0.3,-2.05,67983103,68480379,9484263424
PATH,"UiPath, Inc.",13.1,1.38,11.77,65539184,33454500,6817808384
NIO,NIO Inc.,5.98,0.38,6.79,65010104,42899812,14983888896
NOW,"ServiceNow, Inc.",135.86,11.49,9.24,67922193,24993941,140113510400
PLUG,"Plug Power, Inc.",3.94,-0.01,-0.25,64015030,82299901,5496572416
ACHR,Archer Aviation Inc.,6.84,0.03,0.44,60666574,35514622,5217995776
CRWV,"CoreWeave, Inc.",124.82,15.29,13.96,56162496,27973741,68098093056
PLTR,Palantir Technologies Inc.,160.65,4.11,2.63,56617353,46836280,385128169472
IREN,IREN LIMITED,65.33,1.79,2.82,55788152,41356174,23347550208
RDW,Redwire Corporation,20.68,-3.89,-15.83,56318133,31139544,4113639168
MARA,"MARA Holdings, Inc.",14.85,0.47,3.27,51114756,45917271,5661867008
NU,Nu Holdings Ltd.,12.99,-0.14,-1.07,46885037,51025592,63154016256
OPEN,Opendoor Technologies Inc,5.31,0.27,5.36,46748317,36903633,5122751488
AMZN,"Amazon.com, Inc.",261.26,-9.38,-3.47,51805908,44890096,2810402570240
KEEL,Keel Infrastructure Corp.,6.1,0.42,7.39,47741781,34215995,3683354880
QBTS,D-Wave Quantum Inc.,29.18,-0.96,-3.19,48817211,31248841,10809590784
