symbol,shortName,price,changePct,volume
NBIS,Nebius Group N.V.,259.2,34.14,62364592
QNT,Quantinuum Inc.,71.74,27.97,4554271
EROC,"ERock, Inc.",13.82,22.84,5975009
SHAZ,"SharonAI Holdings, Inc.",68.46,21.0,2443268
CRWV,"CoreWeave, Inc.",107.73,19.28,86984872
SMCI,"Super Micro Computer, Inc.",37.61,19.02,164567403
MRX,Marex Group Limited,71.13,18.69,1330923
ATRO,Astronics Corporation,87.89,17.33,2149455
HRB,"H&R Block, Inc.",54.18,16.09,7520437
CAVA,"CAVA Group, Inc.",69.47,14.24,10593662
LITE,Lumentum Holdings Inc.,932.47,13.63,11738891
BE,Bloom Energy Corporation,237.16,12.29,14371370
VIAV,Viavi Solutions Inc.,43.11,12.27,5889946
CBRS,Cerebras Systems Inc.,262.06,11.63,8133629
CIEN,Ciena Corporation,432.05,11.49,3753658
