symbol,shortName,price,changePct,volume
XENE,Xenon Pharmaceuticals Inc.,39.75,-30.69,17863273
SMR,NuScale Power Corporation,8.27,-8.52,63999605
RSI,"Rush Street Interactive, Inc.",23.3,-7.72,6224298
BTU,Peabody Energy Corporation,25.22,-7.42,9324268
TNGX,"Tango Therapeutics, Inc.",21.75,-7.41,6242300
ALKS,Alkermes plc,43.39,-7.11,6741686
MIRM,"Mirum Pharmaceuticals, Inc.",91.83,-7.07,1797930
CEPU,Central Puerto S.A.,13.46,-7.04,628013
RDW,Redwire Corporation,10.74,-7.01,31608171
WRBY,Warby Parker Inc.,22.5,-6.95,4808010
KD,"Kyndryl Holdings, Inc.",12.07,-6.8,9615030
ASTS,"AST SpaceMobile, Inc.",58.52,-6.68,19681246
NUE,Nucor Corporation,248.38,-6.32,3194364
SYM,Symbotic Inc.,41.89,-6.1,3911244
LFTO,"Liftoff Mobile, Inc.",16.39,-5.91,6439065
