symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
TRENT,134569,71090,63479,89.29,304330,315058.15775,181610134407,352201.86339,37143.70564,2921
COCHINSHIP,33298,21700,11598,53.45,69341,100794.20664,31065734720,108434.11384,7639.9072,1430
NAUKRI,57557,42361,15196,35.87,188072,133780.00795,104991071498,159231.68294,25451.67498,1157
NIFTY,11691967,9250229,2441738,26.4,387136308,828763.26217,615011503988724,6581864.62941,5753101.36724,24398
KALYANKJIL,56648,47186,9462,20.05,86798,79480.9368,35804888581,88942.74511,9461.80831,356
TITAN,96659,83767,12892,15.39,234997,134202.09334,178741779105,161352.54689,27150.45355,4591
MCX,119884,104300,15584,14.94,169678,139754.43031,92055331935,161778.46216,22024.03185,2643
KOTAKBANK,166392,146171,20221,13.83,63057,205029.0948,28784610300,209756.7978,4727.703,382
BSE,102758,90918,11840,13.02,152793,138288.25578,102987030796,162336.46374,24048.20796,3678
PHOENIXLTD,15945,14142,1803,12.75,9207,23056.40473,4536327075,24062.49548,1006.09075,2075
MOTHERSON,38862,34564,4298,12.43,23336,53820.81111,15932975416,57213.59452,3392.78341,143
WAAREEENER,69934,62966,6968,11.07,19020,47206.28703,5021949047,48100.9775,894.69047,2844
SOLARINDS,24816,22444,2372,10.57,32246,43475.64244,25514567046,48194.4379,4718.79546,18247
SWIGGY,47586,43126,4460,10.34,66856,62349.56444,26652028075,69871.86769,7522.30325,266
VBL,66760,61033,5727,9.38,35974,47079.03712,18489904701,50569.68163,3490.64451,484
MPHASIS,27188,24924,2264,9.08,19859,30498.47575,10196388141,33530.88717,3032.41141,2380
PNBHOUSING,20652,18956,1696,8.95,11630,24283.63008,6131583588,25812.79096,1529.16088,1107
NYKAA,24304,22352,1952,8.73,9239,16460.71625,7498794156,17783.57968,1322.86343,314
LICI,28450,26183,2267,8.66,21870,20479.76042,11638243120,22513.44662,2033.6862,435
VOLTAS,40675,37485,3190,8.51,27466,20710.0554,11598006810,22951.3485,2241.2931,1287
INDIANB,29863,27561,2302,8.35,10173,29265.2038,5322282460,30502.6184,1237.4146,787
BANKNIFTY,1015917,937989,77928,8.31,1467518,317047.13585,2556972325311,526013.58896,208966.45311,58200
POLYCAB,32194,29758,2436,8.19,20170,45544.53416,19881610438,49145.26355,3600.72938,9364
ICICIPRULI,31074,28763,2311,8.03,11972,17873.65697,3824490163,18871.5836,997.92663,487
POLICYBZR,43980,40737,3243,7.96,37645,80512.99756,13413373813,83561.86569,3048.86813,1603
BIOCON,30607,28364,2243,7.91,24975,52218.873,21431450500,56341.503,4122.63,406
MIDCPNIFTY,96134,89231,6903,7.74,157665,44919.14635,274096213791,67422.76426,22503.61791,14638
INDUSTOWER,90311,83994,6317,7.52,40567,87031.76554,18483220148,90561.94202,3530.17648,383
VMM,12237,11385,852,7.48,3414,8005.0414,1193051306,8229.93396,224.89256,117
CAMS,16215,15100,1115,7.38,12508,12389.95931,6958070963,13814.36644,1424.40713,777
LODHA,29667,27676,1991,7.19,16348,26200.12962,8669770506,28266.70968,2066.58006,1101
SBILIFE,34591,32351,2240,6.92,32274,35051.14147,19152097481,38499.71628,3448.57481,1835
PAYTM,44060,41208,2852,6.92,26616,41723.46348,20225289279,46944.91877,5221.45529,1241
COALINDIA,93250,87242,6008,6.89,57723,29174.36886,31419989748,32907.47634,3733.10748,427
ABB,35337,33078,2259,6.83,24171,23310.53725,19285688212,27202.85687,3892.31962,6970
LT,163031,152906,10125,6.62,71264,82365.02197,42838654206,88652.08903,6287.06706,3987
CUMMINSIND,32421,30410,2011,6.61,15436,32360.74468,14030292264,34640.06732,2279.32264,5465
JUBLFOOD,29224,27421,1803,6.58,67251,48085.5165,33951277012,56144.84912,8059.33262,455
HAVELLS,32092,30174,1918,6.36,31595,34773.07755,16266461880,38050.39635,3277.3188,1225
BHEL,59011,55570,3441,6.19,32628,41481.75412,30016594125,47878.17037,6396.41625,375
ADANIENT,103116,97159,5957,6.13,55529,103569.853,44961672270,113999.839,10429.986,3109
SIEMENS,32456,30584,1872,6.12,19724,15596.25637,10937657270,17913.95408,2317.6977,3495
DIVISLAB,56688,53425,3263,6.11,44653,26951.79895,28515340939,30778.65834,3826.85939,6760
NIFTYNXT50,841,793,48,6.05,244,2116.86557,243215814,2130.67371,13.80814,72248
ITC,170592,161149,9443,5.86,88735,77229.71556,37277367282,81505.14513,4275.42957,288
JSWENERGY,36460,34452,2008,5.83,19583,18817.86016,10057202963,21029.32479,2211.46463,544
ADANIPOWER,67583,63982,3601,5.63,26547,49434.97368,16730786941,53862.36435,4427.39066,218
ADANIENSOL,41817,39598,2219,5.6,26615,63736.2436,24093933428,71313.49788,7577.25428,1654
PNB,63886,60550,3336,5.51,20750,29924.104,14887458880,32652.2128,2728.1088,103
GODREJPROP,41693,39573,2120,5.36,12999,19565.75448,6719813265,20892.75714,1327.00265,2043
PGEL,23937,22746,1191,5.24,42159,33105.66308,20750892056,39269.39864,6163.73556,577
LTM,43464,41335,2129,5.15,48327,27928.059,26082242259,35044.23159,7116.17259,3843
FORTIS,20245,19276,969,5.03,8982,15628.90218,5409499783,16649.42001,1020.51783,971
ETERNAL,125166,119268,5898,4.95,54768,81426.23508,30875198479,89315.86612,7889.63104,289
HDFCBANK,761263,725567,35696,4.92,326076,349208.27181,144289547889,372178.39321,22970.12139,827
EXIDEIND,29428,28061,1367,4.87,26043,27175.8753,17208865800,31183.6383,4007.763,414
HDFCAMC,25147,23989,1158,4.83,10694,22222.95789,6887339946,23691.12135,1468.16346,2784
RECLTD,50590,48290,2300,4.76,14052,16111.78206,6599946323,16981.29405,869.51198,355
TMPV,116327,111039,5288,4.76,35194,25197.032,18023526144,27892.29344,2695.26144,341
INOXWIND,27480,26240,1240,4.73,5763,5888.8896,2818605952,6277.25312,388.36352,85
GODFRYPHLP,9104,8697,407,4.68,1761,3250.38579,742788563,3384.17142,133.78563,2134
UNOMINDA,14178,13557,621,4.58,4892,9667.53667,2152484180,10140.13847,472.6018,1126
HDFCLIFE,60738,58085,2653,4.57,25613,28783.52642,13574728387,31201.84529,2418.31887,572
BOSCHLTD,17278,16528,750,4.54,6475,8760.70708,6210299964,9507.64422,746.93714,41925
360ONE,18082,17307,775,4.48,7198,17673.3199,2417773935,18174.95925,501.63935,1147
CROMPTON,31708,30438,1270,4.17,6559,9960.14095,2893770806,10522.47152,562.33056,268
VEDL,110105,105755,4350,4.11,42398,21655.29212,12065506106,24324.72318,2669.43106,274
MANKIND,17065,16400,665,4.05,6785,10747.48285,3344071567,11467.74852,720.26567,2522
TORNTPHARM,30169,28996,1173,4.05,18635,27670.67387,8698053506,29372.77143,1702.09756,4852
SHRIRAMFIN,62282,59916,2366,3.95,30519,57443.69919,21989695587,62475.09757,5031.39837,1062
MAXHEALTH,40178,38652,1526,3.95,23149,19563.2599,12155149345,21803.77836,2240.51845,1115
INDUSINDBK,82934,79802,3132,3.92,58277,72303.54733,34898514245,80365.44978,8061.90245,1021
ANGELONE,19345,18616,729,3.92,13225,29323.81575,8688022550,31656.29125,2332.4755,336
KAYNES,44997,43303,1694,3.91,14668,16639.65339,5981406511,18508.1185,1868.46511,3305
SUZLON,59086,56880,2206,3.88,20303,20564.34165,13003225962,22952.71127,2388.36962,54
RELIANCE,468415,451028,17387,3.85,148945,129776.7076,87301487025,143157.02785,13380.32025,1305
PIIND,26865,25875,990,3.83,4678,5530.38843,1664805721,5825.46564,295.07721,2648
PFC,61305,59065,2240,3.79,15891,15469.34064,7283674216,16538.6728,1069.33216,411
JINDALSTEL,34125,32906,1219,3.7,13445,19803.66025,7036724568,21173.96843,1370.30818,1038
NHPC,31396,30276,1120,3.7,9616,7417.72944,4788478693,8123.27537,705.54593,78
NESTLEIND,36662,35407,1255,3.54,14029,18552.0555,8586955900,19886.9645,1334.909,1466
MFSL,26603,25765,838,3.25,7173,15996.4502,3136613876,16562.98896,566.53876,1602
BANKBARODA,88901,86106,2795,3.25,32604,36333.02848,21402741993,39813.25929,3480.23081,247
KEI,17198,16668,530,3.18,8620,16107.25616,6443796135,17454.83001,1347.57385,5085
LUPIN,21534,20888,646,3.09,9395,12320.55059,8846512330,13678.69389,1358.1433,2489
EICHERMOT,75834,73572,2262,3.07,47900,38792.27506,33063476966,44630.79472,5838.51966,7533
ALKEM,14049,13631,418,3.07,9415,12510.7506,5603051086,13519.69896,1008.94836,5662
NBCC,25162,24415,747,3.06,7976,12926.5344,4033512535,13779.87975,853.34535,98
IDEA,116916,113462,3454,3.04,27424,60481.8591,22905337369,65480.40604,4998.54694,13
TECHM,53469,51891,1578,3.04,30808,49454.1312,22228430430,54689.5635,5235.4323,1447
IOC,49462,48036,1426,2.97,13685,19303.78905,7851117641,20580.19421,1276.40516,142
MOTILALOFS,9321,9057,264,2.91,2366,4035.16274,1372428078,4301.25852,266.09578,950
IREDA,22760,22120,640,2.89,3348,5771.30536,1366617377,6064.97288,293.66752,125
JIOFIN,104660,101742,2918,2.87,55675,47248.85912,27957685954,53529.47241,6280.61329,243
