symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
OPTIVALUE,SM,142.7,23.75,  19.97,20,142.7,131,142.7,56.05,12.672,17.6305536
FAIRCHEMOR,BE,846.8,40.3,   5.00,5,846.8,806.8,946.1,428.05,1.86258,15.74904519
CKKRETAIL,SM,143,13,  10.00,10,143,130,265.25,112.2,8.992,12.8486688
MON100,EQ,318.46,-3.65,  -1.13,20,318.46,318.46,342.55,197.81,3.31097,10.544115062000001
GALLANTT,EQ,574.6,27.35,   5.00,5,574.6,555,948,496.25,1.48161,8.386949727
RFBL,ST,95.85,3.45,   3.73,5,97,95,104.7,52.5,7.98,7.70868
OCCLLTD,BE,153.85,1.65,   1.08,5,159.81,150,159.81,75.71,3.72326,5.790041626
SIGMAADV,BE,576.6,27.45,   5.00,5,576.6,576.6,638.1,107.1,0.61609,3.55237494
GULFPETRO,BE,47.71,2.27,   5.00,5,47.71,47.71,47.71,23.25,7.29249,3.479246979
IPHL,SM,79.2,13.2,  20.00,20,79.2,66.5,79.2,46.1,4.044,3.0285516
FINBUD,SM,134.35,9.6,   7.70,10,137.2,124,164.85,76,1.81,2.43988
DELTAMAGNT,EQ,60.75,4.53,   8.06,20,67.46,56.3,94.9,45.51,3.34039,2.188289489
MAFANG,EQ,191.12,-1.42,  -0.74,20,191.12,191.12,208.38,148.67,1.02367,1.9564381039999998
INVPRECQ,BE,1019.55,48.55,   5.00,5,1019.55,965,1019.55,551,0.18105,1.83682467
LEMERITE,EQ,22.35,1.02,   4.78,5,22.39,21.48,107.57,19.52,7.88573,1.7324948809999998
VIVIANA,BE,768.5,36.2,   4.94,5,768.9,723.55,1162.5,565,0.21685,1.64515421
BLUEWATER,ST,467.15,22.2,   4.99,5,467.15,467.15,467.15,128,0.28,1.30802
MICEL,BE,36.5,0.09,   0.25,5,38.23,35.95,82.97,29.97,3.01452,1.1135636880000002
