symbol,regPrice,postPrice,postChange,direction
KLAC,190.8,175.53,-8.0,DOWN
STX,747.3,783.13,4.79,UP
F,14.96,15.66,4.68,UP
LCID,7.9,7.64,-3.29,DOWN
