symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
VMM,15889,15850,39,0.25,6170,13552.37925,1938858164,13716.19139,163.81214,109
GRASIM,64865,64797,68,0.1,18227,57505.74587,8520511585,57872.46172,366.71585,3116
ZYDUSLIFE,17730,17740,-10,-0.06,6768,32308.57206,3624714045,32701.78251,393.21045,1101
INDIANB,31836,31856,-20,-0.06,16118,49857.8416,8613636130,50619.3854,761.5438,835
OBEROIRLTY,33368,33395,-27,-0.08,13357,37732.94497,4910578344,38153.58841,420.64344,1830
LUPIN,24078,24103,-25,-0.1,14587,41717.76884,10927425597,42334.90981,617.14097,2397
NAM-INDIA,16375,16413,-38,-0.23,5069,14093.79062,2296099881,14237.16443,143.37381,1153
VEDL,108422,108812,-390,-0.36,56549,73632.03083,10368194380,75987.35963,2355.3288,259
LAURUSLABS,50122,50309,-187,-0.37,72638,173991.45677,90792436673,189695.9835,15704.52673,1754
BRITANNIA,29360,29496,-136,-0.46,17601,37053.80816,8333004442,37971.10258,917.29442,5485
BHARATFORG,24087,24200,-113,-0.47,12609,41859.8968,9636616805,42814.96485,955.06805,2168
IEX,31488,31652,-164,-0.52,34499,72880.08835,12583363407,75461.25742,2581.16907,131
ASHOKLEY,60158,60481,-323,-0.53,43190,134931.3885,21419659300,140332.9815,5401.593,158
ALKEM,15901,15997,-96,-0.6,8353,17392.01645,4152588058,17546.45953,154.44308,5657
TECHM,62800,63205,-405,-0.64,61774,140278.09782,46258883904,148201.28886,7923.19104,1630
CIPLA,61309,61731,-422,-0.68,53837,46202.82559,28567909925,49104.51984,2901.69425,1447
AUROPHARMA,33500,33737,-237,-0.7,14341,48381.95675,7588527056,49116.54731,734.59056,1557
LODHA,43013,43326,-313,-0.72,129713,146024.48931,88807415200,161998.89131,15974.402,1311
IDFCFIRSTB,73031,73799,-768,-1.04,52758,120591.99922,30559723640,125380.76612,4788.7669,85
BHEL,67535,68258,-723,-1.06,43154,132274.41412,34039595467,138045.93442,5771.5203,405
LTM,39742,40297,-555,-1.38,62853,79345.19265,33366289020,83839.60785,4494.4152,4308
ICICIGI,33484,34021,-537,-1.58,16334,26074.24969,6452275976,26847.02445,772.77476,1699
HYUNDAI,29386,29867,-481,-1.61,17831,37416.02892,6143702958,38111.0585,695.02958,2004
PAGEIND,22421,22794,-373,-1.64,15323,45413.304,7869358110,45838.7351,425.4311,40450
MANKIND,18190,18494,-304,-1.64,17802,31744.2271,8523612145,32738.49855,994.27145,2620
PIIND,29746,30264,-518,-1.71,11935,27588.65908,2998647564,27985.83723,397.17814,2705
JIOFIN,136720,139281,-2561,-1.84,79508,191546.90858,26510456596,196185.40579,4638.49721,237
TVSMOTOR,102349,104318,-1969,-1.89,66818,85555.19243,38169522422,91341.42165,5786.22922,3980
SHRIRAMFIN,66335,67638,-1303,-1.93,47915,118360.6752,29762822298,122235.27318,3874.59798,1044
ULTRACEMCO,70058,71500,-1442,-2.02,56608,84175.21514,25762334103,86040.15617,1864.94103,11979
WAAREEENER,66346,67723,-1377,-2.03,45820,85609.75286,13972933021,87913.33307,2303.58021,2689
AUBANK,42275,43256,-981,-2.27,19470,49594.0421,15603167740,51598.6195,2004.5774,1051
LTF,43276,44292,-1016,-2.29,21693,78175.6587,7489279102,79222.09972,1046.44102,312
