symbol,shortName,price,changePct,volume
ITRI,"Itron, Inc.",107.02,26.23,6379061
IOND,Ionic Digital Inc. Class A Common Stock,62.9,25.8,1561606
KNSA,Kiniksa Pharmaceuticals Interna,79.44,25.03,2838856
LCID,"Lucid Group, Inc.",7.9,21.54,39606602
IQV,"IQVIA Holdings, Inc.",242.94,13.94,4675230
RGEN,Repligen Corporation,145.34,10.9,2437089
OSCR,"Oscar Health, Inc.",31.4,10.8,6490463
JBLU,JetBlue Airways Corporation,6.0,10.5,85524503
CLS,"Celestica, Inc.",350.2,10.04,7523007
FOUR,"Shift4 Payments, Inc.",54.84,9.75,1878338
PRK,Park National Corporation,206.97,9.31,391200
INCY,Incyte Corporation,129.93,9.3,5838894
WPP,WPP plc,21.3,9.01,556624
UL,Unilever PLC,66.87,8.96,13675718
TRU,TransUnion,83.8,8.49,6006838
