date,symbol,name,clientName,buySell,qty,watp,remarks
14-May-2026,ADANIENT,Adani Enterprises Limited,SBI MUTUAL FUND,BUY,5892423,2435.6,
14-May-2026,EMBASSY,Embassy Office Parks REIT,KOTAK INDIA COMMERCIAL REAL ESTATE FUND IFSC,BUY,19426614,421,
14-May-2026,JIOFIN,Jio Fin Services Ltd,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,2675853,231.45,
14-May-2026,ADANIENT,Adani Enterprises Limited,GQG PARTNERS EMERGING MARKETS EQUITY FUND,SELL,5892423,2435.6,
14-May-2026,EMBASSY,Embassy Office Parks REIT,KOTAK REAL ESTATE FUND X IFSC,SELL,19426614,421,
14-May-2026,JIOFIN,Jio Fin Services Ltd,GOLDMAN SACHS BANK EUROPE SE - ODI,SELL,2675853,231.45,
