symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
SFL,EQ,608,64.65,  11.90,20,652,589.1,769.9,456.8,50.74176,317.430302208
WAKEFIT,EQ,143.56,23.92,  19.99,20,143.56,122,224,118.72,79.62925,109.052257875
UTLSOLAR,EQ,276,2.9,   1.06,5,286.75,270.15,313,172,13.36297,37.932126642
SIGMAADV,BE,318.85,15.15,   4.99,5,318.85,304.9,354.9,66.2,4.53968,14.330407856
MON100,EQ,329.04,3.65,   1.12,20,329.04,329.04,329.04,175.71,2.32391,7.646593464
STERTOOLS,EQ,253.22,23.02,  10.00,10,253.22,229.65,393.45,155,3.11326,7.582033404000001
REMUS,SM,865.25,144.2,  20.00,20,865.25,718,1139.5,580,0.755,6.287791
MCLEODRUSS,BE,62.6,2.89,   4.84,5,62.69,60,68.47,28.5,9.03965,5.62808609
MAHKTECH,EQ,24.98,0.1,   0.40,20,25.02,24.25,35.59,20.51,18.77701,4.686741696
SHANKARA,BE,116.17,5.53,   5.00,5,116.17,107.1,1209.8,98.25,3.90813,4.516625841
MAFANG,EQ,196.4,2.87,   1.48,20,196.4,196.4,196.4,129.58,1.64687,3.23445268
NOIDATOLL,EQ,4.78,0.61,  14.63,20,5,4.25,5.63,2.87,41.3286,2.02923426
TIRUPATIFL,BE,43,1.6,   3.86,5,43.47,40,52,30.11,4.01483,1.701083471
RMDRIP,EQ,19.33,0.92,   5.00,5,19.33,18.15,72.22,17.11,8.13608,1.542600768
ELGNZ,SM,86.55,7.85,   9.97,10,86.55,82,163.5,52,1.4,1.20036
VALUE360,ST,73.5,2.8,   3.96,5,74.2,67.35,86.4,67.35,1.284,0.9107412
MONQ50,EQ,134.83,1.87,   1.41,20,134.83,134.83,134.83,71.26,0.66985,0.9031587550000001
NIBL,EQ,32.5,2.08,   6.84,20,36.5,30.75,40.8,21.62,2.59534,0.8959113679999999
PRIMECAB,ST,129.45,6.15,   4.99,5,129.45,123.3,136.7,70.4,0.608,0.7742272
MASPTOP50,EQ,81.67,0.91,   1.13,20,81.67,81.67,81.67,52.52,0.8641,0.70571047
FILATFASH,BE,0.25,0.01,   4.17,5,0.25,0.24,0.74,0.14,293.89462,0.705347088
APEXECO,ST,204.5,4.05,   2.02,5,210.45,200.45,210.45,95.5,0.328,0.6815512
AHLWEST,BE,588.85,28,   4.99,5,588.85,588.85,588.85,137,0.10856,0.63925556
QUESTLAB,ST,114.9,4.35,   3.93,5,116.05,112.5,152.6,75.15,0.528,0.6080448
DURLAX,ST,51.6,0.9,   1.78,5,53.2,51.5,54,28.03,1,0.5228
AVPINFRA,SM,90.9,4.3,   4.97,5,90.9,89.1,218,77,0.512,0.4638208
TEJASCARGO,SM,412.2,19.6,   4.99,5,412.2,407,412.2,158,0.108,0.4435128
FORGEAUTO,SM,108.75,5.15,   4.97,5,108.75,107.4,175.5,68.45,0.408,0.4422312
KCEIL,ST,127.05,6.05,   5.00,5,127.05,123.05,388.05,90.85,0.33,0.418011
VMSTMT,BE,48.6,2.15,   4.63,5,48.77,46.75,105,33.5,0.7795,0.37720005
ONELIFECAP,EQ,21.33,0.86,   4.20,5,21.49,20.49,21.49,9.86,1.53114,0.324907908
CKKRETAIL,ST,121.6,5.75,   4.96,5,121.6,121.55,265.25,112.2,0.256,0.3111936
CLEDUCATE,BE,42.31,2.01,   4.99,5,42.31,40.35,120.8,35.48,0.59894,0.250716284
FMNL,EQ,10.5,-0.03,  -0.28,10,11.58,10.22,19.1,6.74,2.13798,0.23325361800000002
GANESHIN,ST,80,3.8,   4.99,5,80,77.95,279.8,66.4,0.28,0.22302
RSSOFTWARE,BE,35.1,1.66,   4.96,5,35.11,34.11,91.65,21.93,0.63148,0.220765408
DCI,BE,284.7,13.55,   5.00,5,284.7,274,475,201.35,0.07108,0.201348316
MANAV,ST,44.5,1.45,   3.37,5,45.2,44.5,45.2,11.55,0.44,0.197824
NORBTEAEXP,EQ,87.75,3.8,   4.53,5,88.14,85,99.35,30.5,0.2003,0.17628403
INSPIRISYS,BE,108.66,5.17,   5.00,5,108.66,108.66,120.74,69.92,0.13971,0.151808886
ANTGRAPHIC,EQ,0.9,0.11,  13.92,20,0.94,0.79,1.62,0.64,11.72275,0.1031602
NAVKARURB,EQ,0.8,-0.03,  -3.61,5,0.87,0.8,3.59,0.7,12.48473,0.101126313
RUDRA,BE,20.65,0.98,   4.98,5,20.65,19.5,29.7,14.63,0.35891,0.073325313
MUNISH,ST,72,3.35,   4.88,5,72.05,70,143,50.2,0.096,0.0687648
VIVIMEDLAB,BE,6.65,0.07,   1.06,5,6.9,6.55,29.4,5.15,0.93493,0.062453324
LRRPL,SM,82,2,   2.50,5,84,81.5,99.5,59,0.075,0.061725
RBS,ST,95,0.9,   0.96,5,98.8,94.1,143,58.8,0.056,0.0537096
AGNI,SM,21.15,0.9,   4.44,5,21.25,20.35,43.35,13.6,0.2,0.04212
BAWEJA,SM,30.95,2.65,   9.36,10,31.1,28.5,75.7,21.1,0.128,0.0390272
KARMAENG,EQ,49.81,0.78,   1.59,5,51.48,49.81,86.93,34.38,0.07387,0.037607217
PRITI,BE,45,2.01,   4.68,5,45.13,43,107.09,31.5,0.08111,0.035939841
RAJRILTD,BE,20.65,0.12,   0.58,2,20.94,20.56,31.59,19.41,0.14004,0.029044296
SANWARIA,BZ,0.25,0.01,   4.17,2,0.25,0.24,0.41,0.19,10.59016,0.025416384
IL&FSTRANS,BZ,2.37,0.11,   4.87,5,2.37,2.25,4.4,1.75,0.91975,0.02152215
SHEKHAWATI,BE,14.16,0.67,   4.97,5,14.16,13.49,26.84,9.12,0.14664,0.020397624
UMESLTD,BE,5.06,0.24,   4.98,5,5.06,4.6,7.14,3.88,0.34746,0.017060285999999997
ANSALAPI,BZ,4.43,0.08,   1.84,2,4.43,4.35,5.97,2.84,0.25105,0.011096410000000001
WINSOME,BZ,2.06,0.04,   1.98,2,2.06,2.03,2.18,1.59,0.43489,0.008915245
SHRENIK,BZ,0.4,0.01,   2.56,5,0.4,0.39,0.68,0.36,2.207,0.0086073
ANKITMETAL,BZ,1.65,0.01,   0.61,5,1.72,1.65,2.54,1.29,0.43462,0.007388539999999999
SANCO,BZ,3.5,0.16,   4.79,5,3.5,3.25,4.22,1.66,0.20197,0.006927571
MORARJEE,BZ,8.38,0.39,   4.88,5,8.38,8.38,9.99,5.58,0.06289,0.005270182
HAVISHA,BE,1.56,0.04,   2.63,5,1.59,1.5,3.05,1.03,0.33613,0.005243628
EASTSILK,BE,58.05,-2.45,  -4.05,5,63.52,58.05,99.25,24,0.00756,0.004749948
BLUECHIP,EQ,1.95,0.03,   1.56,2,1.95,1.95,5.8,1.8,0.21504,0.004193280000000001
MTEDUCARE,BE,1.57,0.02,   1.29,5,1.62,1.5,2.55,1.17,0.19758,0.003082248
ABMINTLLTD,BE,45.83,2.18,   4.99,5,45.83,45,78.21,34,0.00648,0.0029646
QUADPRO,SM,2.2,0.1,   4.76,5,2.2,2.2,4.65,1.85,0.12,0.00264
JALAN,SM,1.8,0.05,   2.86,5,1.8,1.8,10.75,1.65,0.09,0.00162
795GS2032,GS,114.18,5.43,   4.99,5,114.18,114.18,114.18,101.4,1e-05,1.1418000000000001e-05
