symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime
MRPL,MRPLEQN,174.1,10.56,204353491,204353491,35248933662.59,157.47,11-Mar-2026,,212.31,120.4,16.63,163.75,173.33,178.4,160.62,2026-07-16 16:00:29
DIXON,DIXONEQN,14499,6.21,2267533,2267533,32709050148.35,13651,16-Sep-2025,,18471,9600,848,14101,14507,14685,14101,2026-07-16 16:00:29
TORNTPHARM,TORNTPHARMEQN,4930,-1.75,5061339,5061339,25212503481.21,5017.8,29-May-2026,,5085.8,3376.4,-87.8,5025.3,4987.6,5085.8,4812.2,2026-07-16 16:00:29
BHEL,BHELEQN,440.1,5.3,55731908,55731908,23635344863.72,417.95,17-Jul-2026,,441,205.12,22.15,424.2,435.4,441,407.05,2026-07-16 16:00:29
KALYANKJIL,KALYANKJILEQN,546.05,-0.37,43022984,43022984,23382561574.16,548.1,04-Sep-2025,,617.7,327.05,-2.05,544.95,546.6,555.6,532.5,2026-07-16 16:00:29
ICICIGI,ICICIGIEQN,1619,-10.78,13018936,13018936,20912837654.24,1814.6,29-May-2026,,2064.9,1544.6,-195.6,1700,1623.8,1723.9,1544.6,2026-07-16 16:00:29
HSCL,HSCLEQN,721.95,5.93,28438175,28438175,20385052603.5,681.55,22-May-2026,,734,418.5,40.4,690,722.35,734,687.65,2026-07-16 16:00:29
RELIANCE,RELIANCEEQN,1300,0.35,15631046,15631046,20338960744.74,1295.5,05-Jun-2026,,1611.8,1253.2,4.5,1295.5,1296.6,1309.4,1291.8,2026-07-16 16:00:29
ABB,ABBEQN,7655.5,6.26,2577801,2577801,19912610494.65,7204.5,30-Apr-2026,,7924.5,4637.5,451,7210.5,7667.5,7924.5,7191,2026-07-16 16:00:29
GROWW,GROWWEQN,205.19,-5.15,74536961,74536961,15748914489.69,216.33,,,227.2,112,-11.14,219.69,205.64,220.98,204.55,2026-07-16 16:00:29
HDFCBANK,HDFCBANKEQN,808.35,-0.87,18698186,18698186,15160489208.8,815.45,19-Jun-2026,,1020.5,726.65,-7.1,814.5,808.3,818,806.5,2026-07-16 16:00:29
ICICIBANK,ICICIBANKEQN,1418,0.13,10165264,10165264,14372260159.04,1416.2,12-Aug-2025,,1500,1187.6,1.8,1420.1,1418.2,1423.7,1406.2,2026-07-16 16:00:29
BECTORFOOD,BECTORFOODEQN,194.5,15.11,71620356,71620356,13627921339.68,168.97,17-Feb-2026,,313.82,165,25.53,182.01,192.23,197.5,177.52,2026-07-16 16:00:29
ATHERENERG,ATHERENERGEQN,1270,-2.04,10436460,10436460,13393735305.6,1296.4,,,1345,329.2,-26.4,1325,1267.1,1345,1251.5,2026-07-16 16:00:29
JBCHEPHARM,JBCHEPHARMEQN,2416.1,-3.59,4779224,4779224,11558839997.44,2506,29-May-2026,,2525.5,1627,-89.9,2506,2408.9,2525.5,2380,2026-07-16 16:00:29
TCS,TCSEQN,2199.1,0.45,5197595,5197595,11501030312.2,2189.2,15-Jul-2026,,3350,1976.8,9.9,2206,2201,2231.4,2187.8,2026-07-16 16:00:29
RBLBANK,RBLBANKEQN,363.5,-2.49,30740165,30740165,11161753911.5,372.8,08-Sep-2025,,382.35,243.25,-9.3,373.2,362.8,373.95,361.3,2026-07-16 16:00:29
LT,LTEQN,3779.8,-0.11,2936753,2936753,11091088217.45,3783.9,22-May-2026,,4440,3288.1,-4.1,3795,3775.6,3802,3762.3,2026-07-16 16:00:29
LASERPOWER,LASERPOWEREQN,264.37,5.75,38655377,38655377,10075524015.05,214,,,270,250,14.37,250,262.42,270,250,2026-07-16 16:00:29
SWIGGY,SWIGGYEQN,272.58,0.92,34357269,34357269,9560253671.94,270.09,,,474,235.75,2.49,272,272.96,283.5,271,2026-07-16 16:00:29
