symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
FINNIFTY,13123,7177,5946,82.85,24204,2613.4791,38914933016,5823.21926,3209.74016,26011
NUVAMA,10598,6179,4419,71.52,59207,56465.96115,42712312615,70082.4873,13616.52615,1631
SBIN,368829,223887,144942,64.74,1016769,847617.1569,736885476202,967136.61892,119519.46202,1018
BRITANNIA,58333,37889,20444,53.96,227609,175013.48042,145261646273,196460.88066,21447.40023,5516
PIDILITIND,36777,23953,12824,53.54,125859,108693.7862,85477253480,125928.771,17234.9848,1472
KALYANKJIL,50238,35044,15194,43.36,130883,94150.63839,58539979172,113083.87012,18933.23172,425
DALBHARAT,18664,13793,4871,35.32,50537,57534.54294,25670103004,62712.09298,5177.55004,1840
TITAN,92228,71266,20962,29.41,475573,359078.28694,345188496941,418544.94386,59466.65691,4517
LUPIN,47878,37115,10763,29,137301,147210.32576,129872337420,168062.31496,20851.9892,2373
ABB,40470,33337,7133,21.4,59244,100104.83752,44392214046,110946.47798,10841.64046,7010
BSE,71289,60132,11157,18.55,246117,288738.96744,345196231916,369765.5366,81026.56916,3905
HYUNDAI,52292,44997,7295,16.21,32652,52330.03107,11587117203,54860.94311,2530.91203,1833
TATACONSUM,31580,27505,4075,14.82,67543,51722.83765,39951162031,59706.67296,7983.83531,1176
NBCC,19101,16680,2421,14.51,29868,51204.4286,14916373875,55942.32735,4737.89875,101
COCHINSHIP,13498,11953,1545,12.93,11432,18737.1594,6633057020,21075.5696,2338.4102,1769
DIXON,129859,115169,14690,12.76,122884,145398.8866,54893830490,161879.3915,16480.5049,10825
RBLBANK,38990,34857,4133,11.86,41579,54721.5568,42300799796,62654.97851,7933.42171,342
BANKNIFTY,1117450,1005348,112102,11.15,2174959,565075.71378,3608392982463,930993.83842,365918.12463,55310
APOLLOHOSP,30039,27054,2985,11.03,89514,53506.67155,87130769677,68348.43082,14841.75927,8105
MOTILALOFS,9848,8873,975,10.99,6182,10831.21384,3291962741,11475.65626,644.44241,882
VOLTAS,56246,50775,5471,10.77,28510,29780.24756,11900269886,32615.22142,2834.97386,1322
BANKINDIA,21427,19359,2068,10.68,18424,24378.05916,11419375604,27542.4552,3164.39604,139
NIFTY,7843342,7128602,714740,10.03,81875409,1049386.11882,129350847796357,6150671.0549,5101284.93607,24176
BDL,24788,22610,2178,9.63,20522,16688.66402,9130459058,19586.9646,2898.30058,1449
BANKBARODA,67638,61765,5873,9.51,57669,81777.5671,38240552200,90296.64598,8519.07888,263
SWIGGY,50252,46211,4041,8.74,29121,19959.43051,8915329969,22390.1202,2430.68969,282
OBEROIRLTY,26797,24790,2007,8.1,16381,14330.7549,8685936483,16150.12973,1819.37483,1705
ANGELONE,23244,21633,1611,7.45,59651,44332.94425,46464665350,56627.84775,12294.9035,326
GODFRYPHLP,12168,11332,836,7.38,22694,23086.02846,13292737361,27357.23707,4271.20861,2424
VEDL,90079,84038,6041,7.19,79065,34861.34138,25203138605,40599.87243,5738.53105,297
BLUESTARCO,22228,20749,1479,7.13,20027,22352.96924,9436402625,24357.97549,2005.00625,1691
KAYNES,49907,46624,3283,7.04,64176,48195.6446,24757792906,56723.52366,8527.87906,4497
SOLARINDS,20436,19120,1316,6.88,18527,22393.98869,12901964645,24679.88514,2285.89645,16120
BIOCON,26756,25142,1614,6.42,57122,60759.18225,50922546850,70400.15075,9640.9685,378
MOTHERSON,33488,31549,1939,6.15,11791,27922.86345,6905846070,29660.90265,1738.0392,131
