type,symbol,instrument,expiryDate,optionType,strikePrice,ltp,prevClose,pChange,latestOI,prevOI,changeInOI,volume,turnover,premTurnover,underlyingValue,identifier,instrumentType,pChangeInOI
RS,NIFTY,Index Options,12-May-2026,Call,24200,146.6,260.75,-43.78,111784,39847,71937,5518287,594634.05225,594634.05225,24176.15,OPTIDXNIFTY12-05-2026CE24200,OPTIDX,180.53
RS,NIFTY,Index Options,12-May-2026,Call,25500,1.6,2.55,-37.25,178822,112622,66200,732490,837.96856,837.96856,24176.15,OPTIDXNIFTY12-05-2026CE25500,OPTIDX,58.78
RS,NIFTY,Index Options,12-May-2026,Call,24250,122.55,229.85,-46.68,47205,12040,35165,2944780,276703.30792,276703.30792,24176.15,OPTIDXNIFTY12-05-2026CE24250,OPTIDX,292.07
RS,NIFTY,Index Options,12-May-2026,Call,25200,3.1,7.4,-58.11,101002,73780,27222,743173,1908.09667,1908.09667,24176.15,OPTIDXNIFTY12-05-2026CE25200,OPTIDX,36.9
RS,NIFTY,Index Options,12-May-2026,Call,24500,44.25,111.35,-60.26,152026,127874,24152,2882073,106574.73643,106574.73643,24176.15,OPTIDXNIFTY12-05-2026CE24500,OPTIDX,18.89
RS,NIFTY,Index Options,12-May-2026,Call,24300,101.7,201.4,-49.5,98038,75511,22527,3254056,255868.0503,255868.0503,24176.15,OPTIDXNIFTY12-05-2026CE24300,OPTIDX,29.83
RS,NIFTY,Index Options,12-May-2026,Call,24900,7.75,24.7,-68.62,82422,60034,22388,687749,4863.76092,4863.76092,24176.15,OPTIDXNIFTY12-05-2026CE24900,OPTIDX,37.29
RS,NIFTY,Index Options,12-May-2026,Call,25600,1.15,1.7,-32.35,81068,59207,21861,283304,233.86745,233.86745,24176.15,OPTIDXNIFTY12-05-2026CE25600,OPTIDX,36.92
RS,NIFTY,Index Options,12-May-2026,Call,24150,173.75,293.05,-40.71,27437,7032,20405,1844154,226290.60487,226290.60487,24176.15,OPTIDXNIFTY12-05-2026CE24150,OPTIDX,290.17
RS,SBIN,Stock Options,26-May-2026,Call,1100,6,25.3,-76.28,26746,8544,18202,85409,7718.83837,7718.83837,1018.4,OPTSTKSBIN26-05-2026CE1100,OPTSTK,213.04
RS,NIFTY,Index Options,12-May-2026,Call,24400,67.65,152.05,-55.51,105053,87020,18033,2707180,147776.83466,147776.83466,24176.15,OPTIDXNIFTY12-05-2026CE24400,OPTIDX,20.72
RS,NIFTY,Index Options,12-May-2026,Call,24850,9.4,30.15,-68.82,36616,20191,16425,431873,3753.1923,3753.1923,24176.15,OPTIDXNIFTY12-05-2026CE24850,OPTIDX,81.35
RS,NIFTY,Index Options,19-May-2026,Call,25000,33.05,59.75,-44.69,33301,17096,16205,89405,2149.60911,2149.60911,24176.15,OPTIDXNIFTY19-05-2026CE25000,OPTIDX,94.79
RS,NIFTY,Index Options,12-May-2026,Call,24600,28.3,78.85,-64.11,84996,68984,16012,1514739,37148.2166,37148.2166,24176.15,OPTIDXNIFTY12-05-2026CE24600,OPTIDX,23.21
RS,NIFTY,Index Options,12-May-2026,Call,24950,6.55,20.35,-67.81,31092,18745,12347,350617,2083.01559,2083.01559,24176.15,OPTIDXNIFTY12-05-2026CE24950,OPTIDX,65.87
RS,NIFTY,Index Options,12-May-2026,Put,23700,13.35,13.75,-2.91,73445,61763,11682,1245311,17799.85277,17799.85277,24176.15,OPTIDXNIFTY12-05-2026PE23700,OPTIDX,18.91
RS,NIFTY,Index Options,12-May-2026,Call,25450,1.65,3,-45,29832,18169,11663,119893,150.40576,150.40576,24176.15,OPTIDXNIFTY12-05-2026CE25450,OPTIDX,64.19
RS,NIFTY,Index Options,19-May-2026,Call,24200,270,364.7,-25.97,17902,7290,10612,80392,14781.83782,14781.83782,24176.15,OPTIDXNIFTY19-05-2026CE24200,OPTIDX,145.57
RS,NIFTY,Index Options,12-May-2026,Put,23000,1.35,2.55,-47.06,112630,102071,10559,567937,767.85082,767.85082,24176.15,OPTIDXNIFTY12-05-2026PE23000,OPTIDX,10.34
RS,BANKNIFTY,Index Options,26-May-2026,Call,61000,18.4,28.25,-34.87,30039,19808,10231,42423,251.61081,251.61081,55310.55,OPTIDXBANKNIFTY26-05-2026CE61000,OPTIDX,51.65
RS,NIFTY,Index Options,12-May-2026,Call,24700,17.65,54.8,-67.79,76202,66103,10099,1211620,19515.56334,19515.56334,24176.15,OPTIDXNIFTY12-05-2026CE24700,OPTIDX,15.28
RS,NIFTY,Index Options,12-May-2026,Call,24550,36.9,94.15,-60.81,34303,24236,10067,912730,27605.06248,27605.06248,24176.15,OPTIDXNIFTY12-05-2026CE24550,OPTIDX,41.54
RS,NIFTY,Index Options,12-May-2026,Call,24750,14.4,45.2,-68.14,31083,21040,10043,631455,8323.83981,8323.83981,24176.15,OPTIDXNIFTY12-05-2026CE24750,OPTIDX,47.73
RS,NIFTY,Index Options,12-May-2026,Put,23200,1.75,3.55,-50.7,62943,52958,9985,585179,1232.38697,1232.38697,24176.15,OPTIDXNIFTY12-05-2026PE23200,OPTIDX,18.85
RS,NIFTY,Index Options,12-May-2026,Call,25000,5.8,16.45,-64.74,138256,128643,9613,1002214,4963.96594,4963.96594,24176.15,OPTIDXNIFTY12-05-2026CE25000,OPTIDX,7.47
