type,symbol,instrument,expiryDate,optionType,strikePrice,ltp,prevClose,pChange,latestOI,prevOI,changeInOI,volume,turnover,premTurnover,underlyingValue,identifier,instrumentType,pChangeInOI
SR,NIFTY,Index Options,12-May-2026,Put,24300,190.5,140.85,35.25,51221,77305,-26084,1983687,266054.08412,266054.08412,24176.15,OPTIDXNIFTY12-05-2026PE24300,OPTIDX,-33.74
SR,NIFTY,Index Options,12-May-2026,Put,24400,258.55,190.65,35.62,22672,48556,-25884,545926,95579.35926,95579.35926,24176.15,OPTIDXNIFTY12-05-2026PE24400,OPTIDX,-53.31
SR,NIFTY,Index Options,12-May-2026,Put,24350,223.2,165.05,35.23,11465,35007,-23542,403597,61840.94852,61840.94852,24176.15,OPTIDXNIFTY12-05-2026PE24350,OPTIDX,-67.25
SR,NIFTY,Index Options,12-May-2026,Put,24500,333.75,247.7,34.74,19543,27470,-7927,271114,60369.08993,60369.08993,24176.15,OPTIDXNIFTY12-05-2026PE24500,OPTIDX,-28.86
SR,NIFTY,Index Options,12-May-2026,Put,24450,294.35,218.7,34.59,5462,10046,-4584,90843,17900.97652,17900.97652,24176.15,OPTIDXNIFTY12-05-2026PE24450,OPTIDX,-45.63
SR,NIFTY,Index Options,12-May-2026,Put,23950,47.5,37.3,27.35,46126,50382,-4256,1271046,51859.31232,51859.31232,24176.15,OPTIDXNIFTY12-05-2026PE23950,OPTIDX,-8.45
SR,NIFTY,Index Options,12-May-2026,Put,23800,22.85,20.25,12.84,69403,73253,-3850,1714838,37686.1373,37686.1373,24176.15,OPTIDXNIFTY12-05-2026PE23800,OPTIDX,-5.26
SR,ASIANPAINT,Stock Futures,26-May-2026,-,0,2604,2542.2,2.43,48389,50972,-2583,9354,60563.4084,60563.4084,2600,FUTSTKASIANPAINT26-05-2026XX0,FUTSTK,-5.07
SR,KOTAKBANK,Stock Futures,26-May-2026,-,0,381.5,380.65,0.22,83088,85295,-2207,9320,70651.192,70651.192,381,FUTSTKKOTAKBANK26-05-2026XX0,FUTSTK,-2.59
SR,HCLTECH,Stock Futures,26-May-2026,-,0,1200.9,1182.8,1.53,121390,123579,-2189,8312,34802.46868,34802.46868,1199,FUTSTKHCLTECH26-05-2026XX0,FUTSTK,-1.77
SR,BANKNIFTY,Index Options,26-May-2026,Put,60000,4503.55,3702.05,21.65,35338,37501,-2163,2885,3874.8435,3874.8435,55310.55,OPTIDXBANKNIFTY26-05-2026PE60000,OPTIDX,-5.77
SR,BANKNIFTY,Index Options,26-May-2026,Put,55000,719.3,457.75,57.14,20391,22285,-1894,83945,16940.94045,16940.94045,55310.55,OPTIDXBANKNIFTY26-05-2026PE55000,OPTIDX,-8.5
SR,PERSISTENT,Stock Futures,26-May-2026,-,0,5138,4982.5,3.12,36227,37998,-1771,6322,32310.4776,32310.4776,5115,FUTSTKPERSISTENT26-05-2026XX0,FUTSTK,-4.66
SR,NIFTY,Index Options,12-May-2026,Put,24700,505.5,385.8,31.03,4150,5912,-1762,16884,5573.77984,5573.77984,24176.15,OPTIDXNIFTY12-05-2026PE24700,OPTIDX,-29.8
SR,COFORGE,Stock Options,26-May-2026,Call,1300,84.2,35.9,134.54,2924,4602,-1678,12334,2975.42332,2975.42332,1365.2,OPTSTKCOFORGE26-05-2026CE1300,OPTSTK,-36.46
SR,BANKNIFTY,Index Options,26-May-2026,Put,56000,1198,788.85,51.87,28209,29807,-1598,67935,22099.39137,22099.39137,55310.55,OPTIDXBANKNIFTY26-05-2026PE56000,OPTIDX,-5.36
SR,NIFTY,Index Options,12-May-2026,Put,24600,415.75,316.25,31.46,4706,6107,-1401,48153,13210.55886,13210.55886,24176.15,OPTIDXNIFTY12-05-2026PE24600,OPTIDX,-22.94
SR,NIFTY,Index Options,29-Sep-2026,Put,22500,262.8,238.6,10.14,8997,10391,-1394,3015,529.05411,529.05411,24176.15,OPTIDXNIFTY29-09-2026PE22500,OPTIDX,-13.42
SR,HCLTECH,Stock Options,26-May-2026,Call,1200,28,22.05,26.98,6183,7458,-1275,11511,1084.16353,1084.16353,1199,OPTSTKHCLTECH26-05-2026CE1200,OPTSTK,-17.1
SR,COFORGE,Stock Futures,26-May-2026,-,0,1369.4,1290.4,6.12,49936,51169,-1233,17751,89968.94651,89968.94651,1365.2,FUTSTKCOFORGE26-05-2026XX0,FUTSTK,-2.41
SR,INFY,Stock Futures,26-May-2026,-,0,1179.4,1168.5,0.93,194206,195371,-1165,19134,90148.69296,90148.69296,1179.5,FUTSTKINFY26-05-2026XX0,FUTSTK,-0.6
SR,INFY,Stock Options,26-May-2026,Call,1200,20,18.2,9.89,14082,15238,-1156,11770,950.0744,950.0744,1179.5,OPTSTKINFY26-05-2026CE1200,OPTSTK,-7.59
SR,SUNPHARMA,Stock Futures,26-May-2026,-,0,1848.3,1840.7,0.41,67970,69118,-1148,5131,33232.92259,33232.92259,1845,FUTSTKSUNPHARMA26-05-2026XX0,FUTSTK,-1.66
SR,INDUSTOWER,Stock Options,26-May-2026,Put,400,8.55,8.15,4.91,1834,2968,-1134,2681,385.12565,385.12565,402.8,OPTSTKINDUSTOWER26-05-2026PE400,OPTSTK,-38.21
SR,HCLTECH,Stock Options,26-May-2026,Call,1300,5.25,4.4,19.32,12646,13775,-1129,5932,100.90332,100.90332,1199,OPTSTKHCLTECH26-05-2026CE1300,OPTSTK,-8.2
