symbol,shortName,price,changePct,volume
SDGR,"Schrodinger, Inc.",30.24,26.37,8949590
GNRC,Generac Holdlings Inc.,207.23,18.34,8020390
VICR,Vicor Corporation,216.39,17.66,1675610
BHVN,Biohaven Ltd.,13.89,15.56,5826372
TEM,"Tempus AI, Inc.",80.36,14.85,16825521
PURR,Hyperliquid Strategies Inc,12.83,12.15,27481088
XE,"X-Energy, Inc.",16.33,12.08,8594917
INIO,INNIO N.V.,20.96,12.03,13123824
OKLO,Oklo Inc.,39.65,11.31,17132404
PBLS,"Parabilis Medicines, Inc.",40.88,10.85,1093176
TH,Target Hospitality Corp.,20.76,10.66,2529796
CRSP,CRISPR Therapeutics AG,57.325,9.8,2995890
BFLY,"Butterfly Network, Inc.",7.96,9.64,5928799
CAI,"Caris Life Sciences, Inc.",30.92,9.61,7528075
IONQ,"IonQ, Inc.",40.34,9.5,22359868
