symbol,shortName,price,changePct,volume
NUVL,"Nuvalent, Inc.",123.25,39.28,51678614
ALHC,"Alignment Healthcare, Inc.",19.2,25.08,16311038
CECO,CECO Environmental Corp.,95.445,18.52,1572352
IFS,Intercorp Financial Services In,52.55,11.43,706990
DKNG,DraftKings Inc.,27.59,11.34,19873298
SJM,The J.M. Smucker Company,112.39,10.44,4722593
VECO,Veeco Instruments Inc.,67.19,10.08,3858426
UCTT,"Ultra Clean Holdings, Inc.",91.88,9.47,1439161
BAP,Credicorp Ltd.,349.61,9.29,1308129
GPCR,Structure Therapeutics Inc.,41.25,9.21,1864997
MH,"McGraw Hill, Inc.",12.97,8.9,579457
ASH,Ashland Inc.,62.5,8.77,2555606
SN,"SharkNinja, Inc.",128.48,8.62,3409479
BLLN,"BillionToOne, Inc.",102.39,8.43,676369
BKD,Brookdale Senior Living Inc.,12.86,8.34,5254957
