symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
NOK,Nokia Corporation Sponsored,13.85,-0.74,-5.07,178662201,100012560,77318103040
NVDA,NVIDIA Corporation,208.19,-0.45,-0.22,179602708,165795853,5042570002432
AAL,"American Airlines Group, Inc.",14.09,0.49,3.6,149699859,65999506,9318917120
INTC,Intel Corporation,107.92,-2.35,-2.13,145680757,124488709,542405885952
KEEL,Keel Infrastructure Corp.,5.42,-0.24,-4.24,94270587,37263695,3272751360
MRVL,"Marvell Technology, Inc.",266.88,-21.97,-7.61,92150706,32201650,233466626048
SOFI,"SoFi Technologies, Inc.",16.47,-0.03,-0.18,79330150,67150034,21126748160
MU,"Micron Technology, Inc.",935.89,-13.39,-1.41,72514111,49694563,1055434997760
PLUG,"Plug Power, Inc.",2.91,-0.28,-8.78,69281411,77439357,4059651072
RDW,Redwire Corporation,15.75,-2.82,-15.19,68638344,34167376,3132969728
ONDS,Ondas Inc,9.65,-0.65,-6.31,68314179,73457761,4918774784
AUR,"Aurora Innovation, Inc.",6.16,-0.1,-1.6,59877470,25266480,12081010688
AAPL,Apple Inc.,290.55,-10.99,-3.64,69930268,45584055,4267410980864
CPNG,"Coupang, Inc.",15.91,0.73,4.81,58161197,21179041,28559470592
TSLA,"Tesla, Inc.",396.68,-12.27,-3.0,58360207,59324906,1489820450816
ACHR,Archer Aviation Inc.,5.32,-0.41,-7.16,53562172,37177252,4058441472
IREN,IREN LIMITED,54.02,-5.17,-8.73,56482353,43103719,19305596928
T,AT&T Inc.,22.71,0.21,0.93,52512767,40438234,157796761600
NUVL,"Nuvalent, Inc.",123.25,34.76,39.28,51678614,670985,9736493056
GRAB,Grab Holdings Limited,3.3,-0.03,-0.9,51320315,50617395,13496998912
BB,BlackBerry Limited,8.84,-0.45,-4.84,50916229,25003006,5180782592
PATH,"UiPath, Inc.",10.75,-0.42,-3.76,51792788,34290352,5569792512
RGTI,"Rigetti Computing, Inc.",19.69,-2.07,-9.53,48710848,38910277,6544932864
SMCI,"Super Micro Computer, Inc.",40.64,-3.35,-7.62,47208944,41887988,24441647104
MARA,"MARA Holdings, Inc.",13.31,-0.47,-3.41,47997783,44639957,5074710528
