symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
JNKINDIA,EQ,496,77.65,  18.56,20,502,430,502,200.92,222.23455,1033.30176368
STUDDS,EQ,527.15,87.85,  20.00,20,527.15,440.35,600,427.55,47.78521,239.633271108
STLTECH,BE,612,23.7,   4.03,5,617.7,567,679.9,74.66,36.22107,218.605023771
CEMPRO,EQ,1203.8,109.4,  10.00,10,1203.8,1104.5,1203.8,503.3,17.49059,205.93420666
GVPIL,EQ,905.5,43.1,   5.00,5,905.5,871.6,926.3,270.9,5.83783,52.629788799
MENONBE,EQ,170.9,28.48,  20.00,20,170.9,142.15,170.9,101.5,28.90818,47.5539561
COCKERILL,EQ,10011.5,910,  10.00,10,10011.5,9101,10023,4955,0.48768,46.481561088
IZMO,EQ,990,26.75,   2.78,5,1011.4,952.65,1374.7,311,4.10737,40.994838496
AXISCADES,EQ,1936.5,92.2,   5.00,5,1936.5,1845.3,2211,1063.3,2.11387,40.203270756
UNIMECH,EQ,1149.75,104.5,  10.00,10,1149.75,1051.1,1397,695,2.5797,29.012080110000003
ELECTHERM,EQ,1028,141.55,  15.97,20,1063.7,870,1280.4,551,2.58161,26.585936102
SASKEN,EQ,2344.6,213.1,  10.00,10,2344.6,2132.5,2358.7,991,0.89443,20.012781807
IBULLSLTD,BE,24.48,1.16,   4.97,5,24.48,23.47,25,8.9,63.75666,15.473741382
MON100,EQ,321.98,-8.91,  -2.69,20,321.98,321.98,342.55,177.99,4.6506,14.974001880000001
KRN,BE,1232,58.6,   4.99,5,1232,1136,1405,589.8,1.16226,13.9587426
KSHITIJPOL,BE,6.55,0.31,   4.97,5,6.55,6.54,6.55,1.88,104.09974,6.808122995999999
SIGMAADV,BE,437.45,20.8,   4.99,5,437.45,425,467.8,81.61,1.27502,5.558067184
DSSL,EQ,1309.3,62.3,   5.00,5,1309.3,1260,1924.8,781,0.39546,5.144301864
MAFANG,EQ,190.84,-11.36,  -5.62,20,190.84,190.84,208.38,129.58,2.28922,4.368747448
JINDALPOLY,EQ,669.9,31.9,   5.00,5,669.9,637.55,1026.45,365,0.6162,4.08269472
BGRENERGY,BE,349.45,16.6,   4.99,5,349.45,335,490.8,94,1.10172,3.8093070719999997
BHAGYANGR,BE,307.8,14.65,   5.00,5,307.8,295,351.9,70.21,1.04446,3.162729326
VIVIDEL,ST,1000.1,47.6,   5.00,5,1000.1,946,1041,556,0.2904,2.8739436
ORBTEXP,EQ,222,37,  20.00,20,222,185,265,135,1.35192,2.827135104
SSFL,SM,212.6,19.3,   9.98,10,212.6,198,212.6,86,1.335,2.78214
STLNETWORK,BE,28,1.05,   3.90,5,28.29,26.95,35.4,15.75,6.88911,1.911728025
SICALLOG,BE,79.64,3.79,   5.00,5,79.64,78,103.33,60.11,2.3313,1.8557148
VERTOZ,BE,42.68,2.03,   4.99,5,42.68,40.7,112,27.02,4.24944,1.8111113280000002
RUBYMILLS,BE,344.7,16.4,   5.00,5,344.7,321,345,169.02,0.50376,1.707444144
PRIZOR,ST,787.4,37.45,   4.99,5,787.4,751,810,183.5,0.204,1.5962592
AURIGROW,EQ,0.38,0.03,   8.57,10,0.38,0.36,1,0.2,416.08714,1.539522418
LYKALABS,EQ,70.05,6.36,   9.99,10,70.05,63.42,125.5,44.1,2.21017,1.502473566
SAHASRA,ST,295,11.75,   4.15,5,297.4,280.05,373,188.35,0.436,1.2754744
UHTL,ST,90,3.75,   4.35,5,90.55,88,99.05,44,1.38,1.235514
LOKESHMACH,BE,265.15,12.6,   4.99,5,265.15,246.15,286.8,138.96,0.47196,1.228795056
GRANDOAK,EQ,32.49,5.41,  19.98,20,32.49,25.62,34.8,24,4.00319,1.218170717
TERASOFT,EQ,454.45,18.1,   4.15,5,458.15,436.65,598,257.4,0.26476,1.198727376
ZIMLAB,BE,113.05,5.38,   5.00,5,113.05,104.5,127,59.31,0.93832,1.045851472
MONQ50,EQ,139.21,-7.82,  -5.32,20,139.21,139.21,147.03,71.26,0.7393,1.0291795300000002
MASPTOP50,EQ,79.75,-2.52,  -3.06,20,79.75,79.75,82.78,52.52,1.20754,0.96301315
