symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime
PCJEWELLER,PCJEWELLEREQN,13.99,17.96,2196523618,2196523618,29345555536.48,11.86,16-Dec-2024,,15.38,7.47,2.13,12.29,13.93,14.08,12.21,2026-09-07 16:00:27
IFCI,IFCIEQN,102.29,0.9,207830587,207830587,21581128154.08,101.38,19-Sep-2024,,107.5,46.23,0.91,104.9,102.51,107.36,101.4,2026-09-07 16:00:27
SYRMA,SYRMAEQN,1627,11.64,13079561,13079561,20825146228.59,1457.3,18-Aug-2026,,1645,634.5,169.7,1458.5,1634.8,1645,1458.3,2026-09-07 16:00:27
MVELECTRO,MVELECTROEQN,819.8,12.35,20414269,20414269,16612111398.75,729.7,-,,841.1,516.55,90.1,729.7,806.45,841.1,725,2026-09-07 16:00:27
BSE,BSEEQN,3446.2,1.07,3952983,3952983,13619647158.03,3409.8,10-Jul-2026,,4446.8,2021.5,36.4,3430,3446.2,3474.5,3420,2026-09-07 16:00:27
RELIANCE,RELIANCEEQN,1309.5,-0.95,10210522,10210522,13363837509.26,1322,05-Jun-2026,,1611.8,1249.8,-12.5,1323.1,1309.5,1324.2,1301.9,2026-09-07 16:00:27
ICICIBANK,ICICIBANKEQN,1427.5,0.3,8035111,8035111,11464657077.02,1423.2,03-Aug-2026,,1480,1187.6,4.3,1428,1427.5,1434.4,1422.6,2026-09-07 16:00:27
BHARTIARTL,BHARTIARTLEQN,1854,0.76,5972458,5972458,11001685708.06,1840,24-Jul-2026,,2174.5,1740.5,14,1845,1854,1855.5,1830.4,2026-09-07 16:00:27
IDEA,IDEAEQN,15.6,3.86,695355022,695355022,10784956391.22,15.02,20-Aug-2024,,15.68,6.58,0.58,15.09,15.6,15.68,15.06,2026-09-07 16:00:27
SBIN,SBINEQN,1005.9,-1,10220001,10220001,10283058406.17,1016.1,15-May-2026,,1234.7,803.65,-10.2,1020.8,1005.9,1021.7,1000.6,2026-09-07 16:00:27
MILKYMIST,MILKYMISTEQN,277.49,9.93,35261875,35261875,9543626468.75,252.43,-,,277.67,165,25.06,255.06,276.01,277.67,248.56,2026-09-07 16:00:27
WOCKPHARMA,WOCKPHARMAEQN,2212.8,5.94,4319658,4319658,9416768046.84,2088.7,21-Jun-2024,,2422.3,1086.7,124.1,2112.5,2208,2236,2076.2,2026-09-07 16:00:27
HDFCBANK,HDFCBANKEQN,710.5,-0.22,12180390,12180390,8653314467.7,712.1,19-Jun-2026,,1020.5,698.5,-1.6,712.1,710.5,713,707.05,2026-09-07 16:00:27
INFY,INFYEQN,1087.5,-3.76,7668346,7668346,8390474142.82,1130,10-Jun-2026,,1728,982.4,-42.5,1109.5,1087.5,1109.9,1085,2026-09-07 16:00:27
LALITHAA,LALITHAAEQN,317,3.36,24705575,24705575,7863537466.75,306.7,-,,326.8,240.35,10.3,314,317.75,326.8,309.5,2026-09-07 16:00:27
HIKAL,HIKALEQN,243.5,9.54,31089358,31089358,7628084878.88,222.3,04-Sep-2026,,282.7,146.25,21.2,222.01,243,257,218.82,2026-09-07 16:00:27
SWIGGY,SWIGGYEQN,276.45,0.13,23743792,23743792,6594125914.24,276.1,-,,474,235.75,0.35,277.7,276.45,280.5,274.65,2026-09-07 16:00:27
MCX,MCXEQN,3330.2,1.67,1889368,1889368,6307617280.64,3275.4,28-Aug-2026,,3480,1496,54.8,3276.9,3330.2,3374.4,3276.9,2026-09-07 16:00:27
SAIL,SAILEQN,187.9,-4.52,32633382,32633382,6193163235.96,196.8,08-Sep-2025,,209.7,124,-8.9,196.99,187.9,196.99,187.3,2026-09-07 16:00:27
ATHERENERG,ATHERENERGEQN,1599.3,0.97,3789386,3789386,6046192726.16,1584,-,,1744,485,15.3,1575,1599.3,1618,1561.1,2026-09-07 16:00:27
