symbol,shortName,price,changePct,volume
PBLS,"Parabilis Medicines, Inc.",33.31,-12.73,1113850
EXK,Endeavour Silver Corporation,9.26,-11.89,12700360
ERAS,"Erasca, Inc.",13.945,-10.32,4423472
SRPT,"Sarepta Therapeutics, Inc.",18.95,-8.94,3755879
VERA,"Vera Therapeutics, Inc.",33.05,-8.85,2016803
PAYX,"Paychex, Inc.",104.49,-8.77,8088942
SHAZ,"SharonAI Holdings, Inc.",57.73,-8.67,1608681
MLYS,"Mineralys Therapeutics, Inc.",26.89,-8.54,1478128
AUGO,Aura Minerals Inc.,85.34,-8.01,1419948
BHVN,Biohaven Ltd.,13.67,-7.95,2741125
KNF,Knife Riv Holding Co.,51.43,-7.86,1884115
EWTX,"Edgewise Therapeutics, Inc.",41.05,-7.77,2607022
DAVE,Dave Inc.,326.19,-7.74,643826
EXPE,"Expedia Group, Inc.",259.04,-7.72,5012660
RUM,RUM Group Inc.,8.27,-7.7,4812157
