date,symbol,name,clientName,buySell,qty,watp,remarks
12-May-2026,EMBASSY,Embassy Office Parks REIT,KOTAK INDIA COMMERCIAL REAL ESTATE FUND IFSC,BUY,3430765,421,
12-May-2026,EMBASSY,Embassy Office Parks REIT,KOTAK SECURITIES LIMITED,BUY,1479086,421,
12-May-2026,EMBASSY,Embassy Office Parks REIT,KOTAK REAL ESTATE FUND X IFSC,BUY,19455754,421,
12-May-2026,EMBASSY,Embassy Office Parks REIT,KOTAK ALTERNATE ASSET MANAGERS LIMITED,BUY,2525644,421,
12-May-2026,FEDFINA,Fedbank Financial Ser L,TNTBC AS THE TRUSTEE OF NOMURA INDIA STOCK MOTHER FUND,BUY,11288000,150,
12-May-2026,FEDFINA,Fedbank Financial Ser L,NOMURA INDIA INVESTMENT FUND MOTHER FUND,BUY,14407139,150,
12-May-2026,EMBASSY,Embassy Office Parks REIT,KOTAK PERFORMING RE CREDIT STRATEGY FUND-I,SELL,26891249,421,
12-May-2026,FEDFINA,Fedbank Financial Ser L,TRUE NORTH FUND VI LLP,SELL,12847569,150,
12-May-2026,FEDFINA,Fedbank Financial Ser L,TRUE NORTH FUND VI LLP,SELL,12847570,150,
