symbol,shortName,price,changePct,volume
ROKU,"Roku, Inc.",143.66,20.08,14847779
PLBL,Polibeli Group Ltd,7.75,17.51,242332
MAAS,Maase Inc.,14.86,15.73,158703
ALMS,Alumis Inc.,24.15,15.55,2238888
ELVN,"Enliven Therapeutics, Inc.",46.13,14.3,6144062
POET,POET Technologies Inc.,12.53,11.38,33470538
ARM,Arm Holdings plc,380.81,11.27,16297928
AXTI,AXT Inc,97.18,10.01,10342501
FRO,Frontline Plc,39.07,9.81,4339499
TGB,"Taseko Mines, Ltd.",7.5,9.49,5614082
AMKR,"Amkor Technology, Inc.",82.78,8.71,7453420
HTFL,"Heartflow, Inc.",33.24,8.38,1886482
VECO,Veeco Instruments Inc.,77.48,8.29,1909606
CIFR,Cipher Digital Inc.,24.5,8.26,26071907
ANDG,Andersen Group Inc.,37.78,7.91,366500
