symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
IFCI,EQ,84.57,14.09,  19.99,20,84.57,72.3,84.57,46.23,2405.41132,1934.6723246759998
HINDWAREAP,EQ,255.61,42.6,  20.00,20,255.61,219.99,392.7,170.5,108.79469,266.851615632
E2E,EQ,387.4,18.4,   4.99,5,387.4,361.2,453.8,183.36,62.28077,235.62683714099998
SPARC,EQ,224.52,20.41,  10.00,10,224.52,205.81,248.75,108,80.56789,176.975427174
HFCL,EQ,171.86,8.18,   5.00,5,171.86,169.01,208.98,59.82,92.99089,159.116711879
STLTECH,BE,587,18.6,   3.27,5,596.8,575,679.9,74.8,22.46159,132.188703309
AEROFLEX,EQ,449.4,40.85,  10.00,10,449.4,417.95,458.7,158,28.68692,125.370446476
AEGISVOPAK,EQ,217,17.86,   8.97,10,219.05,202.51,302,158,42.04329,89.947414626
GRMOVER,EQ,93.26,5.66,   6.46,10,96.36,90,185.45,81.95,81.82576,77.16169167999999
UNIMECH,EQ,1158,81.2,   7.54,10,1184.45,1096.85,1397,695,4.64128,54.131248639999995
NIBE,EQ,1578.6,143.5,  10.00,10,1578.6,1467.7,2001,809.6,2.95217,45.872293545
VENUSREM,EQ,1800.8,85.7,   5.00,5,1800.8,1706.8,1800.8,416,2.46228,43.664596152
GVPIL,EQ,929.55,44.25,   5.00,5,929.55,908,935.95,270.9,4.31265,39.99982875
JAYBARMARU,EQ,144.66,13.15,  10.00,10,144.66,134,144.66,71.01,23.59452,33.572642508
BETA,EQ,1771.2,295.2,  20.00,20,1771.2,1525,2000,990.1,1.80651,31.139354823
QPOWER,BE,1221.1,58.1,   5.00,5,1221.1,1154.1,1441,478,2.50571,29.881594034
MSPL,EQ,41.77,1.79,   4.48,5,41.97,40.71,44.85,26.25,61.97266,25.675273038
AXISCADES,EQ,1967.4,93.6,   5.00,5,1967.4,1881.2,2211,1063.3,1.27112,24.537319144
TVSSCS,EQ,132.26,12.02,  10.00,10,132.26,122,147,90.32,15.81448,20.508217664
KRN,BE,1261.2,60,   5.00,5,1261.2,1202.9,1405,589.8,1.50786,18.771499926
MON100,EQ,318.03,-3.61,  -1.12,20,318.03,318.03,342.55,177.99,5.75233,18.294135099000002
SILVERTUC,EQ,198.83,9.46,   5.00,5,198.83,189.45,198.83,66.19,6.98308,13.769935452
IZMO,EQ,983.25,46.8,   5.00,5,983.25,940.85,1374.7,323.5,1.33808,13.043603840000001
VIDYAWIRES,EQ,89.08,4.24,   5.00,5,89.08,86.3,117.35,42.51,11.52931,10.206898143
DEEDEV,BE,656.7,31.25,   5.00,5,656.7,633.95,704.7,183,1.41364,9.153460364
