symbol,regPrice,postPrice,postChange,direction
PINS,25.58,23.23,-9.19,DOWN
AMD,518.58,474.85,-8.43,DOWN
LCID,7.78,7.23,-7.07,DOWN
INTC,100.86,97.8,-3.03,DOWN
