symbol,shortName,price,changePct,volume
AAOI,"Applied Optoelectronics, Inc.",107.63,-13.77,14957517
NN,NextNav Inc.,15.79,-10.03,2769096
ASTS,"AST SpaceMobile, Inc.",62.35,-9.18,12029044
LUNR,"Intuitive Machines, Inc.",16.66,-9.06,7558979
TEM,"Tempus AI, Inc.",66.17,-8.97,11876818
NBTX,Nanobiotix S.A.,39.66,-8.93,223877
DAO,"Youdao, Inc.",16.72,-8.83,101478
AUR,"Aurora Innovation, Inc.",5.69,-8.81,39926005
RGTI,"Rigetti Computing, Inc.",16.37,-8.6,21621924
FRVO,Fervo Energy Company,15.47,-8.57,4300603
XPEV,XPeng Inc.,11.15,-8.53,26369089
IONQ,"IonQ, Inc.",41.06,-8.47,17148766
QBTS,D-Wave Quantum Inc.,18.68,-8.39,17079362
PONY,Pony AI Inc.,7.555,-8.2,5939581
FSLY,"Fastly, Inc.",22.94,-8.06,3176019
