symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
TVSMOTOR,77938,78732,-794,-1.01,31746,27372.73281,21210250139,29599.65921,2226.92639,4307
SHRIRAMFIN,61652,62294,-642,-1.03,21353,29705.8773,17277822663,31814.37393,2108.49663,1122
COFORGE,62944,63605,-661,-1.04,23511,22974.95817,18058203017,25285.78334,2310.82517,1812
KPITTECH,45520,46039,-519,-1.13,11548,5431.12374,5270058869,5894.69743,463.57369,614
BRITANNIA,32758,33149,-391,-1.18,17125,9284.17118,11168943756,10199.73375,915.56256,5558
SAIL,54993,55675,-682,-1.22,3814,20355.82267,945579840,20482.82607,127.0034,169
SRF,49288,49932,-644,-1.29,14003,8452.7238,6713729534,9057.17914,604.45534,2606
PNB,59031,59882,-851,-1.42,22298,21929.1528,19093087280,24235.3856,2306.2328,118
GVT&D,42133,42764,-631,-1.48,19467,10925.53933,9594633460,12043.62393,1118.0846,4350
BANKINDIA,30406,30868,-462,-1.5,5626,8074.41388,3468146708,8491.00096,416.58708,144
HINDUNILVR,122156,124015,-1859,-1.5,34363,17839.28364,20242214940,19244.87304,1405.5894,2077
GAIL,55392,56235,-843,-1.5,10313,5705.88979,6080752080,6173.61685,467.72705,174
HEROMOTOCO,63128,64140,-1012,-1.58,39471,26389.47372,32341854168,29674.5654,3285.09168,5790
ADANIGREEN,74320,75533,-1213,-1.61,34256,19467.50484,26860673292,23082.91776,3615.41292,1348
GRASIM,88980,90454,-1474,-1.63,35411,22002.18385,27281777940,24462.96325,2460.7794,3248
LAURUSLABS,49629,50488,-859,-1.7,41563,71671.90675,57141651778,77934.47453,6262.56778,1787
PETRONET,29259,29773,-514,-1.73,21192,12281.9667,10177943427,13302.88097,1020.91427,282
PNBHOUSING,23611,24035,-424,-1.76,7949,5575.98229,5571919775,6097.31005,521.32775,1150
CROMPTON,52722,53723,-1001,-1.86,14901,12914.45853,6966931702,13593.93056,679.47202,248
MANAPPURAM,39005,39858,-853,-2.14,1553,4288.2345,1286658960,4371.0741,82.8396,349
DELHIVERY,27526,28179,-653,-2.32,13684,22899.99278,11350503917,24143.69321,1243.70042,459
PAYTM,80661,82667,-2006,-2.43,74144,66456.32452,81462082127,79138.5508,12682.22627,1603
POWERINDIA,67241,69088,-1847,-2.67,64032,30327.41483,54386142292,36764.58775,6437.17292,35700
BOSCHLTD,46428,47810,-1382,-2.89,50759,18832.89285,56342606764,22177.96049,3345.06764,47100
GODREJCP,81861,84558,-2697,-3.19,43866,19956.5819,19114299955,22487.23145,2530.64955,934
ADANIPORTS,99188,102900,-3712,-3.61,79169,54592.86045,59192443758,61408.21303,6815.35258,1700
PIIND,52236,54496,-2260,-4.15,26383,11712.33738,10655096530,12997.47769,1285.1403,2490
OIL,18963,19794,-831,-4.2,9459,8998.83012,5445834898,9639.4291,640.59898,468
APOLLOHOSP,59430,62714,-3284,-5.24,320868,100895.67473,351738023056,137787.7803,36892.10556,8920
PERSISTENT,54663,57750,-3087,-5.35,73704,54253.50347,46746467918,62307.43266,8053.92918,5580
ADANIENT,83198,88064,-4866,-5.53,75016,63207.76642,65166301675,73398.37068,10190.60425,3035
ASTRAL,35535,41627,-6092,-14.63,49068,20286.10361,31305581787,24028.36648,3742.26287,1556
