symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
AAL,"American Airlines Group, Inc.",12.7,-0.07,-0.55,137565597,96714595,8407017984
NOK,Nokia Corporation Sponsored,10.14,0.3,3.05,130059239,84712740,56770260992
INTC,Intel Corporation,101.05,3.91,4.03,119233579,108933875,534160932864
SPCX,Space Exploration Technologies ,150.88,7.39,5.15,108357393,97534695,1988866998272
NU,Nu Holdings Ltd.,13.81,-0.38,-2.68,98481749,77382687,66711814144
NVDA,NVIDIA Corporation,213.9,1.73,0.82,96113489,131193816,5165043154944
GRAB,Grab Holdings Limited,2.87,-0.04,-1.37,84460177,46614043,11742035968
HBAN,Huntington Bancshares Incorpora,15.82,-0.93,-5.55,77456990,23026320,31962961920
ONDS,Ondas Inc,7.2,-0.04,-0.55,65120012,81983308,4192494336
CIFR,Cipher Digital Inc.,16.72,1.63,10.8,62689927,31052290,6939313152
RKT,"Rocket Companies, Inc.",12.95,-0.24,-1.82,61867859,29402667,36669767680
RIG,Transocean Ltd (Switzerland),5.54,-0.4,-6.73,58126112,41760914,6187515904
AUR,"Aurora Innovation, Inc.",6.36,-0.08,-1.24,53916575,27133674,12746427392
PATH,"UiPath, Inc.",13.63,-0.6,-4.22,53572947,70808714,7103348736
F,Ford Motor Company,13.35,-0.15,-1.11,53269268,49348682,53234405376
BAC,Bank of America Corporation,57.9,-1.62,-2.72,50082472,33096630,404880162816
SOFI,"SoFi Technologies, Inc.",16.84,-0.23,-1.35,49206498,65798067,21750044672
PLUG,"Plug Power, Inc.",2.02,-0.03,-1.46,47155523,55193667,2822334464
MARA,"MARA Holdings, Inc.",11.04,-0.2,-1.78,46181927,47652629,4264744192
VALE,VALE S.A.,14.13,-0.34,-2.35,45084714,24889980,60133928960
CDE,"Coeur Mining, Inc.",18.98,-0.93,-4.67,43120080,38262517,19510204416
SMR,NuScale Power Corporation,8.3,-0.13,-1.54,42190376,32862514,3406233344
BMNR,"BitMine Immersion Technologies,",22.81,-0.79,-3.35,42100411,39205603,13759593472
OPEN,Opendoor Technologies Inc,2.59,-0.06,-2.26,40823871,55513020,2515125760
AGNC,AGNC Investment Corp.,9.88,-0.08,-0.8,39254158,18863195,11712557056
