symbol,shortName,price,changePct,volume
AXTI,AXT Inc,64.3,11.44,11995708
ARQT,"Arcutis Biotherapeutics, Inc.",26.14,11.19,5155490
FPS,"Forgent Power Solutions, Inc.",34.84,11.1,20786758
SMTC,Semtech Corporation,167.55,11.03,4996339
CIFR,Cipher Digital Inc.,16.72,10.8,62689927
LITE,Lumentum Holdings Inc.,919.4,9.59,6463013
BRKR,Bruker Corporation,60.67,8.83,4105824
AMRX,"Amneal Pharmaceuticals, Inc.",18.08,8.59,5123472
WOR,"Worthington Enterprises, Inc.",58.84,8.24,830212
FTAI,FTAI Aviation Ltd.,189.83,7.59,2310024
CRDO,Credo Technology Group Holding ,161.49,7.38,8882005
COHR,Coherent Corp.,289.93,6.92,7505429
QNT,Quantinuum Inc.,52.01,6.91,1952737
ALAB,"Astera Labs, Inc.",269.18,6.59,3596556
XMTR,"Xometry, Inc.",93.15,6.35,957107
