symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
MILKYMIST,EQ,249.6,17.57,   7.57,10,255.23,228.36,255.23,165,565.6037,1399.47323491
ANTELOPUS,EQ,951.15,158.5,  20.00,20,951.15,807.1,951.15,357,124.46135,1122.330223625
AUGMONT,EQ,952.85,86.6,  10.00,10,952.85,857.05,1019.8,851,47.0062,431.23957942
VISL,EQ,37.25,1.77,   4.99,5,37.25,35.01,44.78,19.06,310.66046,113.204671624
SUDEEPPHRM,EQ,1239.6,8.7,   0.71,5,1292.4,1221.2,1292.4,524.05,3.44574,43.375319694
DEEDEV,EQ,643,23.2,   3.74,5,650.75,617.2,760,183,5.30818,34.273325806
PAR,EQ,168.72,28.12,  20.00,20,168.72,146,168.72,78.05,15.07861,24.036812201
MON100,EQ,328.83,-0.49,  -0.15,20,328.83,326.76,342.55,200.7,5.63732,18.528179644
BHAGERIA,BE,276.35,13.15,   5.00,5,276.35,253.05,276.35,127.51,6.13964,16.75814738
BLUSPRING,EQ,133.6,12.13,   9.99,10,133.61,120.71,136.67,43.98,10.43522,13.476043108
SANGINITA,BE,58.5,-0.26,  -0.44,5,61.69,55.85,68.02,9.23,20.64599,12.286428649
RHETAN,EQ,21.02,1.9,   9.94,10,21.03,21.02,34.87,19.1,53.92754,11.335568907999999
BIRLACABLE,BE,341.6,16.25,   4.99,5,341.6,332.05,341.6,104,3.24909,11.041382547
UFBL,BE,727.65,34.65,   5.00,5,727.65,658.55,850,172.34,1.29643,9.189355126
ONIXSOLAR,EQ,365.75,17.4,   4.99,5,365.75,358.05,393.95,262.45,2.52187,9.162205897
MAFANG,EQ,210.08,-0.97,  -0.46,20,210.38,208.38,211.56,149.74,3.92513,8.240025409000001
MANAKSTEEL,EQ,109.3,5.2,   5.00,5,109.3,101.53,109.3,45.11,5.09467,5.508357204
KRONOX,BE,189.98,8.79,   4.85,5,190.24,175,223.42,96,2.16651,4.069789035
BESTAGRO,EQ,18.82,1.71,   9.99,10,18.82,18,34.4,12.3,21.69874,4.057664379999999
UNIVASTU,BE,160.71,7.65,   5.00,5,160.71,146.1,178.98,56.02,2.03175,3.2199174
HPTL,SM,330.75,15.75,   5.00,5,330.75,312,360,186,0.918,2.8803168
VALIANTLAB,BE,96.13,4.57,   4.99,5,96.13,92.58,110.7,49.51,2.96583,2.841858306
MOLDTECH,BE,202.39,9.63,   5.00,5,202.39,187,221,101.1,1.35934,2.711611432
ESCONET,SM,239.1,21.7,   9.98,10,239.1,219.05,280,91.25,1.012,2.38326
RAJESHEXPO,BZ,79.49,3.78,   4.99,5,79.49,77,237.88,72.63,3.00872,2.382304496
GANESHBE,BE,122.18,5.81,   4.99,5,122.18,114.5,129.99,68.4,1.8682,2.2564119600000003
MVKAGRO,SM,214.4,10.2,   5.00,5,214.4,214.4,819,152.05,0.969,2.077536
ARROWGREEN,BE,771.2,36.7,   5.00,5,771.2,735.05,821.6,341.95,0.26675,2.025672825
TAC,ST,427,20.3,   4.99,5,427,403,899.65,347.4,0.454,1.892953
VALIANTORG,BE,301.1,14.3,   4.99,5,301.1,285,397,195,0.58968,1.754180064
BIKEWO,ST,106.65,5.05,   4.97,5,106.65,98.5,115.8,13.65,1.6,1.66496
AKI,EQ,5.48,0.91,  19.91,20,5.48,4.7,10.48,3.8,30.44554,1.622747282
MAZDA,BE,261.85,12.45,   4.99,5,261.85,242,308,159.2,0.62477,1.61690476
BGRENERGY,BE,244.77,11.65,   5.00,5,244.77,230.02,490.8,173,0.6127,1.4869616300000001
GANGAFORGE,EQ,1.85,0.08,   4.52,5,1.85,1.77,3.29,1.53,70.78382,1.302422288
OILCOUNTUB,BE,68.65,1.42,   2.11,5,70.59,64.2,84.6,35.65,1.86901,1.292794217
AKSHARCHEM,BE,403.85,19.2,   4.99,5,403.85,375,403.85,141.3,0.32662,1.285935602
POLYSIL,SM,63.9,3,   4.93,5,63.9,62.7,356.75,47.25,1.895,1.2099575
RSWM,BE,206.94,9.85,   5.00,5,206.94,195,238,120,0.59644,1.20987854
GAYAPROJ,EQ,21.4,0.71,   3.43,5,21.72,20.35,26,8.21,5.49373,1.1844481880000002
CALSOFT,EQ,41.08,1.95,   4.98,5,41.08,40.11,41.08,10.9,2.83152,1.154977008
EFFWA,ST,352.8,16.8,   5.00,5,352.8,320,399.95,165,0.328,1.1332072
