changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
-14582,08-Sep-2026,Index Options,98215,0.95,Call,-24,191.15391,1.25,112797,25500,NIFTY,191.15391,SS,23914.45,280079,OPTIDXNIFTY08-09-2026CE25500,OPTIDX,-12.93
-8842,08-Sep-2026,Index Options,16021,2.1,Call,-45.45,422.41674,3.85,24863,24850,NIFTY,422.41674,SS,23914.45,232929,OPTIDXNIFTY08-09-2026CE24850,OPTIDX,-35.56
-3770,29-Sep-2026,Index Options,10707,17,Call,-23.25,166.12537,22.15,14477,25100,NIFTY,166.12537,SS,23914.45,13815,OPTIDXNIFTY29-09-2026CE25100,OPTIDX,-26.04
-3576,15-Sep-2026,Index Options,7801,7.55,Call,-46.83,222.81001,14.2,11377,24800,NIFTY,222.81001,SS,23914.45,36938,OPTIDXNIFTY15-09-2026CE24800,OPTIDX,-31.43
-3002,29-Sep-2026,Stock Futures,70359,3990.2,-,-0.35,44321.96023,4004.3,73361,0,LT,44321.96023,SS,3981,6337,FUTSTKLT29-09-2026XX0,FUTSTK,-4.09
-2712,29-Sep-2026,Index Options,47958,8.3,Call,-18.63,147.69455,10.2,50670,25500,NIFTY,147.69455,SS,23914.45,25733,OPTIDXNIFTY29-09-2026CE25500,OPTIDX,-5.35
-2207,08-Sep-2026,Index Options,81332,3.7,Call,-52.26,1275.83205,7.75,83539,24600,NIFTY,1275.83205,SS,23914.45,396529,OPTIDXNIFTY08-09-2026CE24600,OPTIDX,-2.64
-1749,29-Sep-2026,Stock Futures,68919,327.8,-,-0.06,68514.94702,328,70668,0,ETERNAL,68514.94702,SS,327.3,8671,FUTSTKETERNAL29-09-2026XX0,FUTSTK,-2.47
-1559,29-Sep-2026,Stock Futures,32410,1054.8,-,-0.05,62591.1457,1055.3,33969,0,SHRIRAMFIN,62591.1457,SS,1047,7278,FUTSTKSHRIRAMFIN29-09-2026XX0,FUTSTK,-4.59
-1496,29-Sep-2026,Index Options,11653,11.7,Call,-15.52,41.24292,13.85,13149,62000,BANKNIFTY,41.24292,SS,57172,11621,OPTIDXBANKNIFTY29-09-2026CE62000,OPTIDX,-11.38
-1315,29-Sep-2026,Stock Futures,42705,4189.9,-,-0.36,68092.87184,4205,44020,0,TVSMOTOR,68092.87184,SS,4200,9376,FUTSTKTVSMOTOR29-09-2026XX0,FUTSTK,-2.99
-1295,29-Sep-2026,Stock Futures,114373,1864.8,-,-0.76,51729.55708,1879,115668,0,BHARTIARTL,51729.55708,SS,1862.8,5819,FUTSTKBHARTIARTL29-09-2026XX0,FUTSTK,-1.12
-1280,29-Sep-2026,Stock Futures,37052,11389,-,-0.39,18345.84255,11434,38332,0,ULTRACEMCO,18345.84255,SS,11393,3241,FUTSTKULTRACEMCO29-09-2026XX0,FUTSTK,-3.34
-1179,29-Sep-2026,Index Options,13547,40.15,Call,-16.96,252.59415,48.35,14726,60500,BANKNIFTY,252.59415,SS,57172,20095,OPTIDXBANKNIFTY29-09-2026CE60500,OPTIDX,-8.01
-1176,08-Sep-2026,Index Options,19681,3.1,Call,-51.56,577.03893,6.4,20857,24650,NIFTY,577.03893,SS,23914.45,206454,OPTIDXNIFTY08-09-2026CE24650,OPTIDX,-5.64
-1124,29-Sep-2026,Index Options,12802,11,Call,-22.26,84.74386,14.15,13926,25300,NIFTY,84.74386,SS,23914.45,10669,OPTIDXNIFTY29-09-2026CE25300,OPTIDX,-8.07
-1065,29-Sep-2026,Index Options,8425,9.5,Call,-21.81,60.64268,12.15,9490,25400,NIFTY,60.64268,SS,23914.45,9274,OPTIDXNIFTY29-09-2026CE25400,OPTIDX,-11.22
-1046,29-Sep-2026,Stock Options,2245,37.1,Call,-26.9,159.938,50.75,3291,6200,PERSISTENT,159.938,SS,5690,3376,OPTSTKPERSISTENT29-09-2026CE6200,OPTSTK,-31.78
-848,29-Sep-2026,Stock Futures,58001,271.55,-,-1.24,21069.88864,274.95,58849,0,VEDL,21069.88864,SS,270.7,6773,FUTSTKVEDL29-09-2026XX0,FUTSTK,-1.44
-845,29-Dec-2026,Index Options,39117,37.5,Call,-13.39,264.17217,43.3,39963,27000,NIFTY,264.17217,SS,23914.45,10397,OPTIDXNIFTY29-12-2026CE27000,OPTIDX,-2.11
-829,29-Sep-2026,Index Options,4183,428.45,Call,-6.28,1152.89539,457.15,5012,58200,BANKNIFTY,1152.89539,SS,57172,8976,OPTIDXBANKNIFTY29-09-2026CE58200,OPTIDX,-16.54
-814,29-Sep-2026,Stock Options,2863,0.95,Call,-17.39,20.6712,1.15,3677,1150,SBIN,20.6712,SS,1020.9,3132,OPTSTKSBIN29-09-2026CE1150,OPTSTK,-22.14
-803,27-Oct-2026,Index Options,13732,31,Call,-17.99,209.83081,37.8,14535,25500,NIFTY,209.83081,SS,23914.45,9517,OPTIDXNIFTY27-10-2026CE25500,OPTIDX,-5.52
-769,29-Sep-2026,Stock Options,843,17.35,Put,-9.87,340.10848,19.25,1612,640,SBICARD,340.10848,SS,635.15,2012,OPTSTKSBICARD29-09-2026PE640,OPTSTK,-47.7
-739,29-Sep-2026,Stock Futures,59996,1334.4,-,-1.97,25034.812,1361.2,60735,0,HCLTECH,25034.812,SS,1331.5,4675,FUTSTKHCLTECH29-09-2026XX0,FUTSTK,-1.22
